,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
302,4729.47,69.18,69.87,70.0,,42.01
303,4729.62,69.23,69.87,70.0,,41.99
304,4729.77,69.28,69.88,70.0,,41.98
305,4729.92,69.35,69.88,70.0,58.43,41.96
306,4730.07,69.39,69.88,70.0,,41.94
307,4730.22,69.44,69.89,70.0,,41.92
308,4730.37,69.48,69.89,70.0,,41.89
309,4730.52,69.53,69.9,70.0,,41.87
310,4730.67,69.57,69.9,70.0,,41.85
311,4874.363,,,,58.35,
312,4730.82,69.61,69.9,70.0,,41.83
313,4875.473,,,,58.38,
314,4730.97,69.65,69.9,70.0,,41.81
315,4731.12,69.68,69.91,70.0,58.4,41.79
316,4731.27,69.73,69.91,70.0,,41.76
317,4731.42,69.77,69.91,70.0,,41.75
318,4731.57,69.81,69.92,70.0,,41.74
319,4731.716,69.85,69.92,60.0,58.5,41.72
320,4731.866,69.88,69.93,60.0,,41.7
321,4732.016,69.86,69.92,60.0,,41.7
322,4881.003,,,,58.5,
323,4732.166,69.58,69.9,60.0,,41.73
324,4732.316,69.13,69.82,60.0,58.42,41.81
325,4732.466,68.53,69.69,60.0,,41.93
326,4732.616,67.55,69.49,60.0,,42.12
327,4732.766,66.72,69.21,60.0,,42.29
328,4732.916,65.84,68.88,60.0,57.15,42.47
329,4733.066,64.62,68.49,60.0,,42.74
330,4733.216,63.69,68.04,60.0,,42.94
331,4733.366,62.75,67.56,60.0,,43.14
332,4733.516,61.52,67.04,60.0,55.24,43.42
333,4887.632,,,,53.14,
334,4733.666,60.58,66.49,60.0,,43.63
335,4888.764,,,,50.98,
336,4889.394,,,,49.16,
337,4889.912,,,,48.81,
338,4733.816,59.66,65.92,60.0,,43.84
339,4733.977,58.74,65.35,60.0,,44.05
340,4734.126,57.54,64.73,60.0,49.24,44.32
341,4734.276,56.68,64.13,60.0,,44.52
342,4734.427,55.9,63.53,60.0,,44.71
343,4734.576,55.12,62.93,60.0,,44.9
344,4734.726,54.7,62.39,60.0,49.19,45.0
345,4734.876,54.39,61.89,60.0,,45.04
346,4895.408,,,,49.0,
347,4735.027,54.1,61.44,60.0,,45.06
348,4735.179,53.97,61.04,60.0,,45.07
349,4735.329,53.82,60.68,60.0,48.81,45.06
350,4735.479,53.71,60.36,60.0,,45.04
351,4735.629,53.65,60.08,60.0,,45.02
352,4735.781,53.6,59.82,60.0,,45.0
353,4735.924,53.55,59.59,60.0,48.58,44.95
354,4736.073,53.52,59.39,60.0,,44.91
355,4736.223,53.52,59.2,60.0,,44.85
356,4736.373,53.61,59.05,60.0,,44.78
357,4902.086,,,,48.54,
358,4736.523,53.81,58.92,60.0,48.14,44.71
359,4736.673,54.1,58.84,60.0,,44.64
360,4736.823,54.58,58.81,60.0,,44.54
361,4736.973,54.98,58.81,60.0,,44.46
362,4737.123,55.41,58.85,60.0,,44.37
363,4905.697,,,,48.11,
364,4737.273,55.97,58.93,60.0,,44.27
365,4737.423,56.4,59.03,60.0,,44.19
366,4737.573,56.81,59.15,60.0,,44.12
367,4737.723,57.29,59.28,60.0,48.05,44.02
368,4737.873,57.61,59.42,60.0,,43.97
369,4909.339,,,,48.12,
370,4738.023,57.9,59.55,60.0,,43.91
371,4738.173,58.21,59.69,60.0,,43.83
372,4738.323,58.4,59.81,60.0,48.13,43.77
373,4738.473,58.57,59.92,60.0,,43.74
374,4738.623,58.73,60.02,60.0,,43.68
375,4738.773,58.83,60.1,60.0,,43.65
376,4738.923,58.91,60.17,60.0,48.16,43.6
377,4739.073,58.99,60.23,60.0,,43.56
378,4739.223,59.03,60.28,60.0,,43.52
379,4739.373,59.07,60.31,60.0,,43.5
380,4739.523,59.12,60.34,60.0,48.25,43.47
381,4739.673,59.14,60.35,60.0,,43.44
