timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
534.295,85.17,30.38,62,19.96,18.22,20.99
534.444,85.79,30.63,62,,18.21,
534.444,85.79,30.63,62,,18.21,
534.444,85.79,30.63,62,,18.21,
534.444,85.79,30.63,62,,18.21,
534.594,86.32,30.88,62,,18.21,
534.594,86.32,30.88,62,,18.21,
534.594,86.32,30.88,62,,18.21,
534.594,86.32,30.88,62,,18.21,
534.744,87.01,31.14,62,,18.19,
534.744,87.01,31.14,62,,18.19,
534.744,87.01,31.14,62,,18.19,
534.744,87.01,31.14,62,,18.19,
534.894,87.52,31.39,62,,18.19,
534.894,87.52,31.39,62,,18.19,
534.894,87.52,31.39,62,,18.19,
534.894,87.52,31.39,62,,18.19,
535.044,88.03,31.65,62,20.18,18.18,21.23
535.044,88.03,31.65,62,20.18,18.18,21.23
535.044,88.03,31.65,62,20.18,18.18,21.23
535.044,88.03,31.65,62,20.18,18.18,21.23
535.044,88.03,31.65,62,20.18,18.18,21.23
535.044,88.03,31.65,62,20.18,18.18,21.23
535.194,88.7,31.92,62,,18.18,
535.194,88.7,31.92,62,,18.18,
535.194,88.7,31.92,62,,18.18,
535.194,88.7,31.92,62,,18.18,
535.344,89.2,32.18,62,,18.19,
535.344,89.2,32.18,62,,18.19,
535.344,89.2,32.18,62,,18.19,
535.344,89.2,32.18,62,,18.19,
535.494,89.69,32.44,62,,18.18,
535.494,89.69,32.44,62,,18.18,
535.494,89.69,32.44,62,,18.18,
535.494,89.69,32.44,62,,18.18,
535.644,90.33,32.72,62,20.31,18.18,21.37
535.644,90.33,32.72,62,20.31,18.18,21.37
535.644,90.33,32.72,62,20.31,18.18,21.37
535.644,90.33,32.72,62,20.31,18.18,21.37
535.644,90.33,32.72,62,20.31,18.18,21.37
535.644,90.33,32.72,62,20.31,18.18,21.37
535.794,90.8,32.98,62,,18.18,
535.794,90.8,32.98,62,,18.18,
535.794,90.8,32.98,62,,18.18,
535.794,90.8,32.98,62,,18.18,
535.944,91.28,33.25,62,,18.18,
535.944,91.28,33.25,62,,18.18,
535.944,91.28,33.25,62,,18.18,
535.944,91.28,33.25,62,,18.18,
536.094,91.89,33.53,62,,18.17,
536.094,91.89,33.53,62,,18.17,
536.094,91.89,33.53,62,,18.17,
536.094,91.89,33.53,62,,18.17,
536.244,92.34,33.8,62,23.13,18.18,21.79
536.244,92.34,33.8,62,23.13,18.18,21.79
536.244,92.34,33.8,62,23.13,18.18,21.79
536.244,92.34,33.8,62,23.13,18.18,21.79
536.244,92.34,33.8,62,23.13,18.18,21.79
536.244,92.34,33.8,62,23.13,18.18,21.79
536.394,92.78,34.06,62,,18.18,
536.394,92.78,34.06,62,,18.18,
536.394,92.78,34.06,62,,18.18,
536.394,92.78,34.06,62,,18.18,
536.545,93.37,34.36,62,,18.18,
536.545,93.37,34.36,62,,18.18,
536.545,93.37,34.36,62,,18.18,
536.545,93.37,34.36,62,,18.18,
536.694,93.8,34.62,62,,18.19,
536.694,93.8,34.62,62,,18.19,
536.694,93.8,34.62,62,,18.19,
536.694,93.8,34.62,62,,18.19,
536.844,94.21,34.89,62,24.39,18.18,22.01
536.844,94.21,34.89,62,24.39,18.18,22.01
536.844,94.21,34.89,62,24.39,18.18,22.01
536.844,94.21,34.89,62,24.39,18.18,22.01
536.844,94.21,34.89,62,24.39,18.18,22.01
536.844,94.21,34.89,62,24.39,18.18,22.01
536.994,94.78,35.19,62,,18.19,
536.994,94.78,35.19,62,,18.19,
536.994,94.78,35.19,62,,18.19,
536.994,94.78,35.19,62,,18.19,
537.145,95.18,35.46,62,,18.19,
537.145,95.18,35.46,62,,18.19,
537.145,95.18,35.46,62,,18.19,
537.145,95.18,35.46,62,,18.19,
537.294,95.58,35.73,62,,18.2,
537.294,95.58,35.73,62,,18.2,
537.294,95.58,35.73,62,,18.2,
537.294,95.58,35.73,62,,18.2,
537.444,96.12,36.03,62,24.97,18.21,22.36
537.444,96.12,36.03,62,24.97,18.21,22.36
537.444,96.12,36.03,62,24.97,18.21,22.36
537.444,96.12,36.03,62,24.97,18.21,22.36
537.444,96.12,36.03,62,24.97,18.21,22.36
537.444,96.12,36.03,62,24.97,18.21,22.36
537.594,96.52,36.3,62,,18.22,
537.594,96.52,36.3,62,,18.22,
537.594,96.52,36.3,62,,18.22,
537.594,96.52,36.3,62,,18.22,
537.744,96.9,36.58,62,,18.22,
537.744,96.9,36.58,62,,18.22,
537.744,96.9,36.58,62,,18.22,
537.744,96.9,36.58,62,,18.22,
537.894,97.39,36.87,62,,18.23,
537.894,97.39,36.87,62,,18.23,
537.894,97.39,36.87,62,,18.23,
537.894,97.39,36.87,62,,18.23,
538.044,97.78,37.15,62,25.19,18.23,22.57
538.044,97.78,37.15,62,25.19,18.23,22.57
538.044,97.78,37.15,62,25.19,18.23,22.57
538.044,97.78,37.15,62,25.19,18.23,22.57
538.044,97.78,37.15,62,25.19,18.23,22.57
538.044,97.78,37.15,62,25.19,18.23,22.57
538.194,98.14,37.43,62,,18.24,
538.194,98.14,37.43,62,,18.24,
538.194,98.14,37.43,62,,18.24,
538.194,98.14,37.43,62,,18.24,
538.344,98.63,37.73,62,,18.26,
538.344,98.63,37.73,62,,18.26,
538.344,98.63,37.73,62,,18.26,
538.344,98.63,37.73,62,,18.26,
538.494,98.99,38.01,62,,18.26,
538.494,98.99,38.01,62,,18.26,
538.494,98.99,38.01,62,,18.26,
538.494,98.99,38.01,62,,18.26,
538.644,99.34,38.29,62,26.17,18.27,23.19
538.644,99.34,38.29,62,26.17,18.27,23.19
538.644,99.34,38.29,62,26.17,18.27,23.19
538.644,99.34,38.29,62,26.17,18.27,23.19
538.644,99.34,38.29,62,26.17,18.27,23.19
538.644,99.34,38.29,62,26.17,18.27,23.19
538.794,99.83,38.6,62,,18.29,
538.794,99.83,38.6,62,,18.29,
538.794,99.83,38.6,62,,18.29,
538.794,99.83,38.6,62,,18.29,
538.944,100.17,38.87,62,,18.29,
538.944,100.17,38.87,62,,18.29,
538.944,100.17,38.87,62,,18.29,
538.944,100.17,38.87,62,,18.29,
539.094,100.51,39.15,62,,18.3,
539.094,100.51,39.15,62,,18.3,
539.094,100.51,39.15,62,,18.3,
539.094,100.51,39.15,62,,18.3,
539.244,100.94,39.46,62,27.05,18.31,23.46
539.244,100.94,39.46,62,27.05,18.31,23.46
539.244,100.94,39.46,62,27.05,18.31,23.46
539.244,100.94,39.46,62,27.05,18.31,23.46
539.244,100.94,39.46,62,27.05,18.31,23.46
539.244,100.94,39.46,62,27.05,18.31,23.46
539.394,101.28,39.74,62,,18.33,
539.394,101.28,39.74,62,,18.33,
539.394,101.28,39.74,62,,18.33,
539.394,101.28,39.74,62,,18.33,
539.544,101.62,40.02,62,,18.33,
539.544,101.62,40.02,62,,18.33,
539.544,101.62,40.02,62,,18.33,
539.544,101.62,40.02,62,,18.33,
539.694,102.05,40.33,62,,18.35,
539.694,102.05,40.33,62,,18.35,
539.694,102.05,40.33,62,,18.35,
539.694,102.05,40.33,62,,18.35,
539.845,102.34,40.6,62,29.16,18.36,24.03
539.845,102.34,40.6,62,29.16,18.36,24.03
539.845,102.34,40.6,62,29.16,18.36,24.03
539.845,102.34,40.6,62,29.16,18.36,24.03
539.845,102.34,40.6,62,29.16,18.36,24.03
539.845,102.34,40.6,62,29.16,18.36,24.03
539.994,102.66,40.89,62,,18.37,
539.994,102.66,40.89,62,,18.37,
539.994,102.66,40.89,62,,18.37,
539.994,102.66,40.89,62,,18.37,
