DATAQ: | Stg1ThermoTempC = 59.21 | stg1AltThermoTempC2 = 48.57 | stg1AltThermoTempC3 = 50.67  |
DATAQ: | Stg1ThermoTempC = 58.99 | stg1AltThermoTempC2 = 48.88 | stg1AltThermoTempC3 = 50.76  |
DATAQ: | Stg1ThermoTempC = 58.86 | stg1AltThermoTempC2 = 49.07 | stg1AltThermoTempC3 = 50.71  |
DATAQ: | Stg1ThermoTempC = 58.83 | stg1AltThermoTempC2 = 49.24 | stg1AltThermoTempC3 = 50.68  |
DATAQ: | Stg1ThermoTempC = 58.88 | stg1AltThermoTempC2 = 49.42 | stg1AltThermoTempC3 = 50.59  |
DATAQ: | Stg1ThermoTempC = 58.94 | stg1AltThermoTempC2 = 49.64 | stg1AltThermoTempC3 = 50.69  |
DATAQ: | Stg1ThermoTempC = 58.87 | stg1AltThermoTempC2 = 49.87 | stg1AltThermoTempC3 = 50.57  |
DATAQ: | Stg1ThermoTempC = 58.9 | stg1AltThermoTempC2 = 49.9 | stg1AltThermoTempC2 3 50.5  |
DATAQ: | Stg1ThermoTempC = 58.91 | stg1AltThermoTempC2 = 50.3 | stg1AltThermoTempC23= 50.53  |
DATAQ: | Stg1ThermoTempC = 58.98 | stg1AltThermoTempC2 = 50.3 | stg1AltThermoTempC23= 50.57  |
DATAQ: | Stg1ThermoTempC = 58.99 | stg1AltThermoTempC2 = 50.59 | stg1AltThermoTempC3 = 50.57  |
DATAQ: | Stg1ThermoTempC = 59.12 | stg1AltThermoTempC2 = 50.89 | stg1AltThermoTempC3 = 50.71  |
DATAQ: | Stg1ThermoTempC = 59.07 | stg1AltThermoTempC2 = 50.96 | stg1AltThermoTempC3 = 50.66  |
DATAQ: | Stg1ThermoTempC = 59.14 | stg1AltThermoTempC2 = 51.22 | stg1AltThermoTempC3 = 50.85  |
DATAQ: | Stg1ThermoTempC = 59.11 | stg1AltThermoTempC2 = 51.34 | stg1AltThermoTempC3 = 50.89  |
DATAQ: | Stg1ThermoTempC = 59.11 | stg1AltThermoTempC2 = 51.39 | stg1AltThermoTempC3 = 50.97  |
DATAQ: | Stg1ThermoTempC = 59.14 | stg1AltThermoTempC2 = 51.56 | stg1AltThermoTempC3 = 50.95  |
DATAQ: | Stg1ThermoTempC = 59.17 | stg1AltThermoTempC2 = 51.78 | stg1AltThermoTempC3 = 51.13  |
DATAQ: | Stg1ThermoTempC = 59.21 | stg1AltThermoTempC2 = 51.88 | stg1AltThermoTempC3 = 51.09  |
DATAQ: | Stg1ThermoTempC = 59.19 | stg1AltThermoTempC2 = 52.01 | stg1AltThermoTempC3 = 51.15  |
DATAQ: | Stg1ThermoTempC = 59.17 | stg1AltThermoTempC2 = 52.07 | stg1AltThermoTempC3 = 51.19  |
DATAQ: | Stg1ThermoTempC = 59.3 | stg1AltThermoTempC2 = 52.21 | stg1AltThermoTempC23= 51.19  |
DATAQ: | Stg1ThermoTempC = 59.28 | stg1AltThermoTempC2 = 52.34 | stg1AltThermoTempC3 = 51.3  |
DATAQ: | Stg1ThermoTempC = 59.31 | stg1AltThermoTempC2 = 52.42 | stg1AltThermoTempC3 = 51.32  |
DATAQ: | Stg1ThermoTempC = 59.33 | stg1AltThermoTempC2 = 52.56 | stg1AltThermoTempC3 = 51.34  |
DATAQ: | Stg1ThermoTempC = 59.45 | stg1AltThermoTempC2 = 52.67 | stg1AltThermoTempC3 = 51.46  |
DATAQ: | Stg1ThermoTempC = 59.48 | stg1AltThermoTempC2 = 52.78 | stg1AltThermoTempC3 = 51.46  |
DATAQ: | Stg1ThermoTempC = 59.46 | stg1AltThermoTempC2 = 52.89 | stg1AltThermoTempC3 = 51.54  |
DATAQ: | Stg1ThermoTempC = 59.56 | stg1AltThermoTempC2 = 52.98 | stg1AltThermoTempC3 = 51.63  |
DATAQ: | Stg1ThermoTempC = 59.64 | stg1AltThermoTempC2 = 53.03 | stg1AltThermoTempC3 = 51.71  |
DATAQ: | Stg1ThermoTempC = 59.61 | stg1AltThermoTempC2 = 53.09 | stg1AltThermoTempC3 = 51.75  |
DATAQ: | Stg1ThermoTempC = 59.69 | stg1AltThermoTempC2 = 53.22 | stg1AltThermoTempC3 = 51.87  |
