consumable/lot,numericValue
TKM-1750,1.283
TKM-1749,1.283
TKM-1913,1.3
TKM-1953,1.2
TKM-1926,1.3
TKM-2008,1.308
TKM-1689,1.077
TKM-1636,1.213
TKM-1820,1.325
TKM-1947,1.2
TKM-1954,1.3
TKM-1820,1.238
TKM-1636,1.177
TKM-1751,1.265
TKM-1776,1.13
TKM-1598,1.137
TKM-1636,1.123
TKM-1789,1.013
TKM-1652,1.2
TKM-1947,1.3
TKM-1751,1.345
TKM-1636,1.22
TKM-1777,1.122
TKM-1636,1.21
TKM-1966,1.3
TKM-1694,0.9
TKM-2033,1.4
TKM-1750,1.273
TKM-1913,1.2
TKM-1830,1.2
TKM-1927,0.911
TKM-1667,1.169
TKM-1947,1.2
TKM-1636,1.206
TKM-1749,1.261
TKM-1636,1.276
TKM-1598,1.082
TKM-1925,1.3
TKM-1789,1.243
TKM-1572,1.316
TKM-1749,1.317
TKM-1790,1.211
TKM-1657,1.169
TKM-1572,1.008
TKM-1899,1.3
TKM-1771,1.124
TKM-1856,1.3
TKM-1949,1.3
TKM-1790,1.235
TKM-1613,1.137
TKM-1829,1.385
TKM-1769,1.002
TKM-1894,1.258
TKM-1697,1.157
TKM-1944,1.3
TKM-1657,1.06
TKM-1789,1.243
TKM-1572,1.225
TKM-1790,1.284
TKM-1636,1.089
TKM-1970,1.2
TKM-1750,1.227
TKM-1954,1.3
TKM-1751,1.211
TKM-1875,1.252
TKM-2009,1.3
TKM-1613,1.098
TKM-1830,1.275
3221,0.994
TKM-1829,1.2
TKM-1728,1.417
TKM-1664,1.221
TKM-1657,0.995
TKM-1913,1.3
TKM-1773,1.037
TKM-1949,1.4
TKM-1636,1.211
TKM-1948,1.2
TKM-1750,1.022
TKM-1829,1.2
TKM-1750,1.186
TKM-1773,0.917
TKM-1947,1.3
TKM-1598,1.05
TKM-1694,1.2
TKM-1723,0.836
TKM-1723,0.565
TKM-1856,1.388
TKM-1729,1.297
TKM-1751,1.251
TKM-1685,0.979
TKM-1913,1.4
TKM-2033,1.2
TKM-1664,1.338
TKM-1874,1.196
TKM-1572,1.21
TKM-1652,1.1
TKM-1790,1.249
TKM-1789,1.3
TKM-1750,1.211
TKM-1664,1.324
TKM-1684,0.909
TKM-1657,1.02
TKM-1771,1.105
TKM-1925,1.3
TKM-1652,0.8
TKM-1820,1.23
TKM-1729,1.317
TKM-1875,1.178
TKM-1687,1.016
TKM-1790,1.326
TKM-1856,1.2
TKM-1694,1.2
TKM-1694,1.1
TKM-1662,1.02
TKM-2008,1.352
TKM-1664,1.189
TKM-2033,1.3
TKM-1789,1.156
TKM-1790,1.288
TKM-1790,1.119
TKM-1953,1.3
TKM-1689,1.112
TKM-1657,1.123
TKM-1572,1.26
TKM-1657,1.037
TKM-1689,1.204
TKM-1729,1.242
TKM-1664,1.348
TKM-1926,1.3
TKM-1657,1.138
TKM-1687,1.121
TKM-1613,1.043
TKM-1948,1.2
TKM-1875,1.209
TKM-1856,1.341
TKM-1694,1.2
TKM-1636,1.271
TKM-1749,1.31
TKM-1664,1.275
TKM-1636,1.205
TKM-1613,1.106
TKM-1925,1.3
TKM-1751,1.226
TKM-1613,1.009
TKM-1667,1.022
TKM-1651,1.161
TKM-1790,1.35
TKM-1925,1.3
TKM-1657,0.571
TKM-1694,1.2
TKM-1652,0.908
TKM-1657,1.113
TKM-1882,1.341
TKM-1664,1.273
TKM-1751,1.248
TKM-1829,1.3
TKM-1684,0.964
TKM-1913,1.3
TKM-1636,1.207
TKM-1664,1.268
TKM-1613,1.017
TKM-1969,1.3
TKM-1750,1.255
TKM-1750,1.284
TKM-1751,1.249
TKM-1657,1.033
TKM-1751,1.317
TKM-1820,1.215
TKM-1856,1.3
TKM-1925,1.4
TKM-1697,1.178
TKM-1949,1.2
TKM-1657,1.653
TKM-1894,1.235
TKM-1771,1.056
TKM-1750,1.27
TKM-1949,1.2
TKM-1651,1.246
TKM-1856,1.287
TKM-1751,1.237
TKM-1969,1.4
TKM-1750,1.232
TKM-1667,1.128
TKM-1789,1.25
TKM-1636,1.077
TKM-1751,1.354
TKM-1664,1.142
TKM-1694,1.1
TKM-1925,1.3
TKM-1684,1.139
TKM-1664,1.286
TKM-1694,1.2
TKM-1947,1.3
TKM-1657,1.138
TKM-1664,1.279
TKM-1952,1.3
TKM-1751,1.259
TKM-1689,1.018
TKM-1790,1.276
TKM-1667,1.043
TKM-1750,1.266
TKM-1970,1.3
TKM-1820,1.274
TKM-1881,1.301
TKM-1572,1.263
TKM-1750,1.218
TKM-1875,1.161
TKM-1750,1.219
TKM-1830,1.31
TKM-1947,1.1
TKM-1750,1.237
TKM-1749,1.347
TKM-1875,1.217
TKM-1751,1.324
TKM-1856,1.1
TKM-1718,0.997
TKM-1651,1.13
TKM-1856,1.2
TKM-1719,1.649
TKM-1694,1.204
TKM-1829,1.225
TKM-1751,1.318
TKM-1657,1.027
TKM-1667,0.984
TKM-1750,1.223
TKM-1636,1.099
TKM-1667,1.072
TKM-1572,1.043
TKM-1789,1.2
TKM-1613,1.09
TKM-1926,1.2
TKM-1750,1.219
TKM-1750,1.133
TKM-2008,1.501
TKM-1667,1.091
TKM-1651,1.244
TKM-1751,1.305
TKM-1925,1.3
TKM-1751,1.203
TKM-1694,1.3
TKM-1664,1.268
TKM-1664,1.242
TKM-1662,0.987
TKM-1953,1.4
TKM-1914,1.2
TKM-1749,1.33
TKM-1790,1.269
TKM-2009,1.3
TKM-1667,1.129
TKM-1651,1.222
TKM-1776,0.986
TKM-1664,1.247
TKM-1953,1.3
TKM-1949,1.26
TKM-1657,1.047
TKM-1830,1.3
TKM-1750,1.262
TKM-1767,1.254
TKM-1694,1.114
TKM-1664,1.244
TKM-1830,1.195
TKM-1749,1.315
TKM-1750,1.327
TKM-1790,1.289
TKM-1899,1.3
TKM-1751,1.236
TKM-1751,1.295
TKM-1830,1.3
TKM-1910,1.3
TKM-1830,1.2
TKM-1882,1.277
TKM-1664,1.26
TKM-1926,1.3
TKM-1662,0.966
TKM-1664,1.289
TKM-1613,1.092
TKM-1751,1.267
TKM-1790,1.247
TKM-1657,1.054
TKM-1790,1.323
TKM-1697,1.134
TKM-1664,1.276
TKM-1657,1.077
TKM-1948,1.334
TKM-1925,1.3
TKM-1771,1.162
TKM-1856,1.248
TKM-1636,1.233
TKM-1926,1.2
TKM-1598,1.057
TKM-1572,1.305
TKM-1598,1.02
TKM-1830,1.3
TKM-1657,1.103
TKM-1851,1.178
TKM-1953,1.2
TKM-1830,1.318
TKM-1604,1.308
TKM-1686,0.987
TKM-1970,1.2
TKM-1771,1.043
TKM-1694,1
TKM-1636,1.107
TKM-1689,1.116
TKM-1657,1.022
TKM-1749,1.286
TKM-1613,0.998
TKM-1944,1.3
TKM-1910,1.2
TKM-1664,1.306
TKM-1790,1.309
TKM-1790,1.293
TKM-1636,1.159
TKM-1572,1.234
TKM-1664,1.243
TKM-1954,1.4
TKM-1662,0.992
TKM-1751,1.208
TKM-1882,1.309
TKM-1613,1.015
TKM-1694,1.2
TKM-1664,1.417
TKM-1572,1.257
TKM-1789,1.205
TKM-1694,1.138
TKM-1790,1.169
TKM-1966,1.3
TKM-1830,1.2
TKM-1664,1.291
TKM-1913,1.3
TKM-1636,0.974
TKM-1750,1.287
TKM-2009,1.3
TKM-1910,1.4
TKM-1947,1.2
TKM-1910,1.3
TKM-1750,1.195
TKM-1790,1.214
TKM-1750,1.22
TKM-1664,1.161
TKM-1830,1.317
TKM-1910,1.4
TKM-1657,1.009
TKM-1790,1.337
TKM-1689,0.996
TKM-1874,1.152
TKM-1874,1.138
TKM-1636,1.234
TKM-1829,1.3
TKM-1657,0.951
TKM-1952,1.4
TKM-1750,1.227
TKM-1830,1
TKM-1790,1.287
TKM-1954,1.2
TKM-1657,1.127
TKM-1572,1.228
TKM-1954,1.3
TKM-1648,1.103
TKM-1684,1.134
TKM-1856,1
TKM-1613,1.007
3221,1.153
TKM-1613,1.055
TKM-1790,1.345
TKM-1790,1.297
3221,1.221
TKM-1694,0.997
TKM-1613,1.072
TKM-1750,1.23
TKM-1689,1.127
TKM-1613,1.166
TKM-1789,1.323
TKM-1636,1.211
TKM-1790,1.289
TKM-1664,1.226
TKM-1820,1.264
TKM-1830,1.35
TKM-1777,1.102
TKM-1899,1.2
TKM-1613,1.138
TKM-1927,1.137
TKM-1613,1.07
TKM-2033,1.4
TKM-1664,1.301
TKM-1970,1.3
TKM-1750,1.211
TKM-1882,1.21
TKM-1856,1.2
TKM-1773,1.057
TKM-1751,1.303
TKM-1598,0.968
3173,1.258
TKM-1773,1.096
TKM-1572,1.196
TKM-1684,1.01
TKM-1689,1.007
TKM-1636,1.163
TKM-1947,1.356
TKM-1899,1.2
TKM-1750,1.244
TKM-1694,1.2
TKM-1697,1.002
TKM-1648,1.046
TKM-1694,1.1
TKM-2009,1.5
TKM-1664,1.155
TKM-1572,1.065
TKM-1953,1.1
TKM-1572,1.243
TKM-1954,1.3
TKM-1856,1.333
TKM-1820,1.225
TKM-1572,1.256
TKM-1664,1.196
TKM-1771,1.132
TKM-1636,1.156
TKM-1914,1.2
TKM-1820,1.225
TKM-1667,0.953
TKM-1636,1.204
TKM-1771,1.136
TKM-1829,1.304
TKM-1882,1.298
TKM-1773,1.047
TKM-1613,1.066
TKM-1636,1.277
TKM-1667,1.057
TKM-1830,1.2
TKM-1751,1.299
TKM-1697,1.023
TKM-1790,1.206
TKM-1657,1.106
TKM-1830,1.353
TKM-1689,1.052
TKM-1899,1.3
TKM-1830,1.229
TKM-1598,1.016
TKM-1657,1.084
TKM-1598,1.033
TKM-1572,1.265
TKM-1751,1.254
TKM-1966,1.2
TKM-1856,1.338
TKM-1790,1.325
TKM-1914,1.2
TKM-1657,1.077
TKM-1694,1.2
TKM-1775,1.118
TKM-1572,1.329
TKM-1750,1.232
TKM-1771,1.148
TKM-1689,1.045
TKM-1664,1.25
TKM-1657,0.996
TKM-1657,1.014
TKM-1751,1.298
TKM-1767,1.04
3221,1.21
TKM-1657,1.132
TKM-1689,1.182
TKM-1750,1.2
TKM-1948,1.3
TKM-1613,1.07
TKM-1750,1.282
TKM-2033,1.2
TKM-1636,1.109
TKM-1789,1.242
