consumableId,consumable/lot,numericValue,instrument
53cecaa3-d033-436e-b908-e894005adc5a,TKM-1604,1.308,AdvBuild25
42a291e6-4191-4723-9df8-cf831d48bff4,TKM-1604,1.32,AdvBuild25
5bfc4837-fb06-457e-be49-6b1be5b0c388,TKM-1604,1.326,AdvBuild25
9a13b2c5-2c5a-4a04-9b93-61eeb46667bf,TKM-1604,1.328,AdvBuild25
e0f6e7b6-ef32-4727-9856-9b651ba9b8de,TKM-1604,1.339,AdvBuild25
557e90e3-131e-4b1b-81fe-859eaa1ab581,TKM-1613,0.844,AdvBuild14 (New)
173f797e-5ffd-4561-9dcf-2c3c3c295f0b,TKM-1613,0.889,AdvBuild14 (New)
2a8ca3a0-63fc-4100-a23b-674865f55694,TKM-1613,0.944,AdvBuild27
ba9818e4-e4d9-425d-a649-5d66eba0b3cd,TKM-1613,0.951,AdvBuild04
4cedf172-1d3b-46b1-a171-ed49fc915357,TKM-1613,0.954,AdvBuild04
8f28b979-082a-4737-b92d-6687435132d8,TKM-1613,0.957,104
3137ee3d-6c8b-48a8-ac81-3daf5d5701ee,TKM-1613,0.96,AdvBuild14 (New)
85ce90a1-756b-4726-95c6-4961d63e90ac,TKM-1613,0.966,AdvBuild04
9bbc3ce5-0b0c-4bfa-8374-8a520aa4cc0e,TKM-1613,0.971,AdvBuild14 (New)
26a8f1e2-0058-4430-9e9b-032c25c4ca42,TKM-1613,0.978,AdvBuild03
2a0c9aad-435b-4c16-a671-028483a854ff,TKM-1613,0.983,AdvBuild14 (New)
b46b7a6a-3dd1-454c-8176-0104d79b1b3f,TKM-1613,0.987,104
c1f6ce72-9b23-4340-9e06-fc5b03587cc8,TKM-1613,0.988,203
e2dac05f-ddd6-4794-86a0-e2b15a62025c,TKM-1613,0.988,AdvBuild27
a0505f05-2956-49b6-91f1-a125bd15ef06,TKM-1613,0.991,AdvBuild14 (New)
034d63f8-97b3-4207-a108-556e8d64ff52,TKM-1613,0.992,201
3256f0b4-8e81-4fea-a514-2e26a439ef31,TKM-1613,0.993,200
3249ee15-b898-4da3-8279-cce68c6f28c5,TKM-1613,0.995,AdvBuild04
b90a0541-3de6-4dde-a0b4-8172d0accc0b,TKM-1613,0.995,AdvBuild27
56e32cb1-6b12-4fb3-b5ec-7acf0bfcc205,TKM-1613,0.998,AdvBuild04
76fef7e9-a2b2-4ee8-91aa-1b3595eb44b2,TKM-1613,1.003,107
671e8c68-7f72-4708-83b9-43d94705956a,TKM-1613,1.004,217
ce66de80-1cf5-4e84-bd86-1e0c835c7ecd,TKM-1613,1.007,AdvBuild04
c56298a1-920a-4634-9aad-d9c2da55b195,TKM-1613,1.009,AdvBuild04
20f066c3-0e66-48be-be4b-109286127a29,TKM-1613,1.012,AdvBuild27
4de2ad62-f9ae-4623-a2b0-121bcb3a8397,TKM-1613,1.014,113
cdfebaa9-b754-40e2-be70-b9f7a631a174,TKM-1613,1.014,114
437dddb8-5146-47a9-b191-fe8f69c77c6c,TKM-1613,1.015,AdvBuild27
64012639-d056-463c-87ad-08c184b6ab54,TKM-1613,1.017,AdvBuild14 (New)
d02baabc-36d1-413b-806f-d9993058ea38,TKM-1613,1.017,217
f2272594-de22-456b-9519-972132e5ac69,TKM-1613,1.021,226
5885aff5-4a29-42b9-8b91-ef56ed1a13ab,TKM-1613,1.024,100
c520e0a3-fa90-48ad-ab1d-9b1fbcad7cf7,TKM-1613,1.024,AdvBuild27
5f7ceaf0-8825-4b25-a0ce-fa582298a19c,TKM-1613,1.027,113
16855b3b-2939-420a-b7bd-e72d96b94a18,TKM-1613,1.029,100
730eb282-ae64-4333-b669-513f54c6685b,TKM-1613,1.035,226
52400a4e-00eb-4819-9da1-735b45f688a0,TKM-1613,1.038,113
df774603-245b-4856-a991-3b7772a8e2a8,TKM-1613,1.042,101
2b59dc1f-0149-47e1-b733-25ec0948b011,TKM-1613,1.043,104
8e34061f-433b-41df-9c64-ed332735cc9f,TKM-1613,1.046,101
4be330eb-0eab-42e7-85a9-f64503ddc43c,TKM-1613,1.049,230
ae0d4b51-0b2e-4d06-abca-ae1ec7615db3,TKM-1613,1.052,225
