[49]Set PCR TEC:  HEAT: True  POW: 100
(118064) RAW PELTIER: TC-1 = 54.3, HSTemp = 19.3, modeled = 38.6, rawRR C/s = 8.7, output = 100.0
(118113) RAW PELTIER: TC-1 = 54.7, HSTemp = 19.3, modeled = 38.9, rawRR C/s = 8.7, output = 100.0
(118164) RAW PELTIER: TC-1 = 55.2, HSTemp = 19.3, modeled = 39.2, rawRR C/s = 8.6, output = 100.0
(118213) RAW PELTIER: TC-1 = 55.6, HSTemp = 19.3, modeled = 39.6, rawRR C/s = 8.5, output = 100.0
(118264) RAW PELTIER: TC-1 = 56.1, HSTemp = 19.2, modeled = 39.9, rawRR C/s = 8.5, output = 100.0
(118313) RAW PELTIER: TC-1 = 56.5, HSTemp = 19.2, modeled = 40.2, rawRR C/s = 8.1, output = 100.0
(118364) RAW PELTIER: TC-1 = 56.9, HSTemp = 19.2, modeled = 40.5, rawRR C/s = 8.1, output = 100.0
(118414) RAW PELTIER: TC-1 = 57.4, HSTemp = 19.2, modeled = 40.8, rawRR C/s = 8.1, output = 100.0
(118467) RAW PELTIER: TC-1 = 57.8, HSTemp = 19.2, modeled = 41.2, rawRR C/s = 8.2, output = 100.0
(118520) RAW PELTIER: TC-1 = 58.2, HSTemp = 19.2, modeled = 41.5, rawRR C/s = 8.3, output = 100.0
(118567) RAW PELTIER: TC-1 = 58.7, HSTemp = 19.2, modeled = 41.8, rawRR C/s = 8.2, output = 100.0
(118616) RAW PELTIER: TC-1 = 58.7, HSTemp = 19.2, modeled = 42.1, rawRR C/s = 8.2, output = 100.0
(118665) RAW PELTIER: TC-1 = 59.1, HSTemp = 19.2, modeled = 42.4, rawRR C/s = 8.2, output = 100.0
(118716) RAW PELTIER: TC-1 = 59.6, HSTemp = 19.2, modeled = 42.7, rawRR C/s = 8.2, output = 100.0
(118767) RAW PELTIER: TC-1 = 60.0, HSTemp = 19.1, modeled = 43.0, rawRR C/s = 8.1, output = 100.0
(118816) RAW PELTIER: TC-1 = 60.4, HSTemp = 19.1, modeled = 43.3, rawRR C/s = 8.1, output = 100.0
(118867) RAW PELTIER: TC-1 = 60.8, HSTemp = 19.1, modeled = 43.6, rawRR C/s = 7.9, output = 100.0
(118916) RAW PELTIER: TC-1 = 61.3, HSTemp = 19.1, modeled = 43.9, rawRR C/s = 7.8, output = 100.0
(118967) RAW PELTIER: TC-1 = 61.7, HSTemp = 19.1, modeled = 44.2, rawRR C/s = 7.8, output = 100.0
(119016) RAW PELTIER: TC-1 = 62.1, HSTemp = 19.1, modeled = 44.5, rawRR C/s = 7.7, output = 100.0
(119067) RAW PELTIER: TC-1 = 62.5, HSTemp = 19.1, modeled = 44.8, rawRR C/s = 7.7, output = 100.0
(119116) RAW PELTIER: TC-1 = 62.9, HSTemp = 19.1, modeled = 45.1, rawRR C/s = 7.7, output = 100.0
(119167) RAW PELTIER: TC-1 = 63.3, HSTemp = 19.1, modeled = 45.5, rawRR C/s = 7.7, output = 100.0
(119216) RAW PELTIER: TC-1 = 63.7, HSTemp = 19.1, modeled = 45.8, rawRR C/s = 7.6, output = 100.0
(119267) RAW PELTIER: TC-1 = 64.1, HSTemp = 19.1, modeled = 46.1, rawRR C/s = 7.6, output = 100.0
(119317) RAW PELTIER: TC-1 = 64.5, HSTemp = 19.1, modeled = 46.4, rawRR C/s = 7.6, output = 100.0
(119368) RAW PELTIER: TC-1 = 64.9, HSTemp = 19.1, modeled = 46.7, rawRR C/s = 7.5, output = 100.0
(119422) RAW PELTIER: TC-1 = 65.3, HSTemp = 19.0, modeled = 47.0, rawRR C/s = 7.5, output = 100.0
(119468) RAW PELTIER: TC-1 = 65.7, HSTemp = 19.0, modeled = 47.3, rawRR C/s = 7.5, output = 100.0
(119518) RAW PELTIER: TC-1 = 65.7, HSTemp = 19.0, modeled = 47.6, rawRR C/s = 7.5, output = 100.0
(119567) RAW PELTIER: TC-1 = 66.1, HSTemp = 19.0, modeled = 47.9, rawRR C/s = 7.4, output = 100.0
(119618) RAW PELTIER: TC-1 = 66.5, HSTemp = 19.0, modeled = 48.2, rawRR C/s = 7.4, output = 100.0
(119667) RAW PELTIER: TC-1 = 66.9, HSTemp = 19.0, modeled = 48.5, rawRR C/s = 7.2, output = 100.0
(119718) RAW PELTIER: TC-1 = 67.3, HSTemp = 19.0, modeled = 48.8, rawRR C/s = 7.5, output = 100.0
(119767) RAW PELTIER: TC-1 = 67.7, HSTemp = 19.0, modeled = 49.0, rawRR C/s = 7.1, output = 100.0
(119818) RAW PELTIER: TC-1 = 68.0, HSTemp = 19.0, modeled = 49.3, rawRR C/s = 7.1, output = 100.0
(119867) RAW PELTIER: TC-1 = 68.4, HSTemp = 19.0, modeled = 49.6, rawRR C/s = 7.1, output = 100.0
(119918) RAW PELTIER: TC-1 = 68.8, HSTemp = 19.0, modeled = 49.9, rawRR C/s = 7.1, output = 100.0
(119967) RAW PELTIER: TC-1 = 69.2, HSTemp = 19.0, modeled = 50.2, rawRR C/s = 7.3, output = 100.0
(120019) RAW PELTIER: TC-1 = 69.6, HSTemp = 19.0, modeled = 50.5, rawRR C/s = 7.2, output = 100.0
(120067) RAW PELTIER: TC-1 = 69.9, HSTemp = 19.0, modeled = 50.8, rawRR C/s = 7.1, output = 100.0
(120118) RAW PELTIER: TC-1 = 70.3, HSTemp = 19.0, modeled = 51.1, rawRR C/s = 6.9, output = 100.0
(120168) RAW PELTIER: TC-1 = 70.7, HSTemp = 19.0, modeled = 51.4, rawRR C/s = 6.6, output = 100.0
(120221) RAW PELTIER: TC-1 = 71.0, HSTemp = 19.0, modeled = 51.7, rawRR C/s = 6.6, output = 100.0
(120272) RAW PELTIER: TC-1 = 71.3, HSTemp = 19.0, modeled = 52.0, rawRR C/s = 6.5, output = 100.0
(120325) RAW PELTIER: TC-1 = 71.7, HSTemp = 19.0, modeled = 52.3, rawRR C/s = 6.5, output = 100.0
(120377) RAW PELTIER: TC-1 = 72.0, HSTemp = 19.0, modeled = 52.6, rawRR C/s = 6.7, output = 100.0
(120422) RAW PELTIER: TC-1 = 72.0, HSTemp = 19.0, modeled = 52.9, rawRR C/s = 6.7, output = 100.0
(120472) RAW PELTIER: TC-1 = 72.4, HSTemp = 19.0, modeled = 53.1, rawRR C/s = 6.7, output = 100.0
(120522) RAW PELTIER: TC-1 = 72.7, HSTemp = 18.9, modeled = 53.4, rawRR C/s = 6.7, output = 100.0
(120572) RAW PELTIER: TC-1 = 73.1, HSTemp = 18.9, modeled = 53.7, rawRR C/s = 6.6, output = 100.0
(120621) RAW PELTIER: TC-1 = 73.4, HSTemp = 18.9, modeled = 54.0, rawRR C/s = 6.5, output = 100.0
(120672) RAW PELTIER: TC-1 = 73.8, HSTemp = 18.9, modeled = 54.2, rawRR C/s = 6.5, output = 100.0
(120723) RAW PELTIER: TC-1 = 74.1, HSTemp = 18.9, modeled = 54.5, rawRR C/s = 6.5, output = 100.0
(120772) RAW PELTIER: TC-1 = 74.5, HSTemp = 18.9, modeled = 54.8, rawRR C/s = 6.5, output = 100.0
(120823) RAW PELTIER: TC-1 = 74.8, HSTemp = 18.9, modeled = 55.1, rawRR C/s = 6.5, output = 100.0
(120872) RAW PELTIER: TC-1 = 75.1, HSTemp = 18.9, modeled = 55.4, rawRR C/s = 6.3, output = 100.0
(120923) RAW PELTIER: TC-1 = 75.5, HSTemp = 18.9, modeled = 55.6, rawRR C/s = 6.3, output = 100.0
(120972) RAW PELTIER: TC-1 = 75.8, HSTemp = 18.9, modeled = 55.9, rawRR C/s = 6.2, output = 100.0
(121023) RAW PELTIER: TC-1 = 76.1, HSTemp = 18.9, modeled = 56.2, rawRR C/s = 6.2, output = 100.0
(121072) RAW PELTIER: TC-1 = 76.5, HSTemp = 18.9, modeled = 56.5, rawRR C/s = 6.2, output = 100.0
(121123) RAW PELTIER: TC-1 = 76.8, HSTemp = 18.9, modeled = 56.8, rawRR C/s = 6.1, output = 100.0
(121173) RAW PELTIER: TC-1 = 77.1, HSTemp = 18.9, modeled = 57.0, rawRR C/s = 6.2, output = 100.0
(121225) RAW PELTIER: TC-1 = 77.4, HSTemp = 18.9, modeled = 57.3, rawRR C/s = 6.1, output = 100.0
(121278) RAW PELTIER: TC-1 = 77.8, HSTemp = 18.9, modeled = 57.6, rawRR C/s = 6.1, output = 100.0
(121330) RAW PELTIER: TC-1 = 78.1, HSTemp = 18.9, modeled = 57.9, rawRR C/s = 6.1, output = 100.0
(121374) RAW PELTIER: TC-1 = 78.1, HSTemp = 18.9, modeled = 58.1, rawRR C/s = 6.1, output = 100.0
(121425) RAW PELTIER: TC-1 = 78.4, HSTemp = 18.9, modeled = 58.4, rawRR C/s = 6.1, output = 100.0
(121474) RAW PELTIER: TC-1 = 78.7, HSTemp = 18.9, modeled = 58.6, rawRR C/s = 6.0, output = 100.0
(121525) RAW PELTIER: TC-1 = 79.0, HSTemp = 18.9, modeled = 58.9, rawRR C/s = 5.9, output = 100.0
(121574) RAW PELTIER: TC-1 = 79.3, HSTemp = 18.9, modeled = 59.2, rawRR C/s = 5.8, output = 100.0
(121625) RAW PELTIER: TC-1 = 79.7, HSTemp = 18.9, modeled = 59.4, rawRR C/s = 6.2, output = 100.0
(121674) RAW PELTIER: TC-1 = 80.0, HSTemp = 18.9, modeled = 59.7, rawRR C/s = 5.9, output = 100.0
(121725) RAW PELTIER: TC-1 = 80.3, HSTemp = 18.9, modeled = 60.0, rawRR C/s = 6.0, output = 100.0
(121774) RAW PELTIER: TC-1 = 80.6, HSTemp = 18.9, modeled = 60.2, rawRR C/s = 6.0, output = 100.0
(121825) RAW PELTIER: TC-1 = 80.9, HSTemp = 18.9, modeled = 60.5, rawRR C/s = 5.9, output = 100.0
(121874) RAW PELTIER: TC-1 = 81.3, HSTemp = 18.9, modeled = 60.8, rawRR C/s = 5.9, output = 100.0
(121925) RAW PELTIER: TC-1 = 81.6, HSTemp = 18.9, modeled = 61.0, rawRR C/s = 5.9, output = 100.0
(121974) RAW PELTIER: TC-1 = 81.9, HSTemp = 18.9, modeled = 61.3, rawRR C/s = 5.8, output = 100.0
(122025) RAW PELTIER: TC-1 = 82.2, HSTemp = 18.9, modeled = 61.6, rawRR C/s = 5.6, output = 100.0
(122074) RAW PELTIER: TC-1 = 82.5, HSTemp = 18.9, modeled = 61.8, rawRR C/s = 5.4, output = 100.0
(122128) RAW PELTIER: TC-1 = 82.7, HSTemp = 18.9, modeled = 62.1, rawRR C/s = 5.4, output = 100.0
(122181) RAW PELTIER: TC-1 = 83.0, HSTemp = 18.9, modeled = 62.4, rawRR C/s = 5.4, output = 100.0
(122232) RAW PELTIER: TC-1 = 83.3, HSTemp = 18.9, modeled = 62.6, rawRR C/s = 5.3, output = 100.0
(122277) RAW PELTIER: TC-1 = 83.3, HSTemp = 18.9, modeled = 62.9, rawRR C/s = 5.3, output = 100.0
(122327) RAW PELTIER: TC-1 = 83.6, HSTemp = 18.9, modeled = 63.1, rawRR C/s = 5.5, output = 100.0
(122376) RAW PELTIER: TC-1 = 83.9, HSTemp = 18.9, modeled = 63.4, rawRR C/s = 5.5, output = 100.0
(122427) RAW PELTIER: TC-1 = 84.2, HSTemp = 18.9, modeled = 63.6, rawRR C/s = 5.4, output = 100.0
(122476) RAW PELTIER: TC-1 = 84.5, HSTemp = 18.9, modeled = 63.9, rawRR C/s = 5.3, output = 100.0
(122527) RAW PELTIER: TC-1 = 84.7, HSTemp = 18.9, modeled = 64.1, rawRR C/s = 5.4, output = 100.0
(122576) RAW PELTIER: TC-1 = 85.0, HSTemp = 18.9, modeled = 64.4, rawRR C/s = 5.2, output = 100.0
(122627) RAW PELTIER: TC-1 = 85.3, HSTemp = 18.9, modeled = 64.6, rawRR C/s = 5.3, output = 100.0
(122676) RAW PELTIER: TC-1 = 85.6, HSTemp = 18.9, modeled = 64.9, rawRR C/s = 5.3, output = 100.0
(122727) RAW PELTIER: TC-1 = 85.9, HSTemp = 18.9, modeled = 65.1, rawRR C/s = 5.2, output = 100.0
(122776) RAW PELTIER: TC-1 = 86.1, HSTemp = 18.9, modeled = 65.4, rawRR C/s = 5.2, output = 100.0
(122827) RAW PELTIER: TC-1 = 86.4, HSTemp = 18.9, modeled = 65.7, rawRR C/s = 5.2, output = 100.0
(122876) RAW PELTIER: TC-1 = 86.7, HSTemp = 18.9, modeled = 65.9, rawRR C/s = 5.1, output = 100.0
(122927) RAW PELTIER: TC-1 = 86.9, HSTemp = 18.9, modeled = 66.2, rawRR C/s = 5.1, output = 100.0
(122977) RAW PELTIER: TC-1 = 87.2, HSTemp = 18.9, modeled = 66.4, rawRR C/s = 5.0, output = 100.0
(123030) RAW PELTIER: TC-1 = 87.5, HSTemp = 18.9, modeled = 66.7, rawRR C/s = 5.0, output = 100.0
(123083) RAW PELTIER: TC-1 = 87.7, HSTemp = 18.9, modeled = 66.9, rawRR C/s = 5.1, output = 100.0
(123130) RAW PELTIER: TC-1 = 88.0, HSTemp = 18.9, modeled = 67.2, rawRR C/s = 5.1, output = 100.0
(123179) RAW PELTIER: TC-1 = 88.0, HSTemp = 18.9, modeled = 67.4, rawRR C/s = 5.1, output = 100.0
(123228) RAW PELTIER: TC-1 = 88.3, HSTemp = 18.9, modeled = 67.6, rawRR C/s = 5.1, output = 100.0
(123278) RAW PELTIER: TC-1 = 88.6, HSTemp = 18.9, modeled = 67.9, rawRR C/s = 5.1, output = 100.0
(123328) RAW PELTIER: TC-1 = 88.8, HSTemp = 19.0, modeled = 68.1, rawRR C/s = 4.9, output = 100.0
(123379) RAW PELTIER: TC-1 = 89.1, HSTemp = 19.0, modeled = 68.3, rawRR C/s = 4.9, output = 100.0
(123428) RAW PELTIER: TC-1 = 89.4, HSTemp = 19.0, modeled = 68.6, rawRR C/s = 4.8, output = 100.0
(123479) RAW PELTIER: TC-1 = 89.6, HSTemp = 19.0, modeled = 68.8, rawRR C/s = 4.8, output = 100.0
(123528) RAW PELTIER: TC-1 = 89.9, HSTemp = 19.0, modeled = 69.1, rawRR C/s = 4.8, output = 100.0
(123579) RAW PELTIER: TC-1 = 90.1, HSTemp = 19.0, modeled = 69.3, rawRR C/s = 4.7, output = 100.0
(123628) RAW PELTIER: TC-1 = 90.4, HSTemp = 19.0, modeled = 69.5, rawRR C/s = 4.8, output = 100.0
(123679) RAW PELTIER: TC-1 = 90.6, HSTemp = 19.0, modeled = 69.8, rawRR C/s = 5.1, output = 100.0
(123728) RAW PELTIER: TC-1 = 90.9, HSTemp = 19.0, modeled = 70.0, rawRR C/s = 5.2, output = 100.0
(123779) RAW PELTIER: TC-1 = 91.2, HSTemp = 19.0, modeled = 70.3, rawRR C/s = 5.0, output = 100.0
(123829) RAW PELTIER: TC-1 = 91.4, HSTemp = 19.0, modeled = 70.5, rawRR C/s = 5.0, output = 100.0
(123882) RAW PELTIER: TC-1 = 91.7, HSTemp = 19.0, modeled = 70.7, rawRR C/s = 4.6, output = 100.0
(123935) RAW PELTIER: TC-1 = 91.9, HSTemp = 19.0, modeled = 71.0, rawRR C/s = 4.4, output = 100.0
(123986) RAW PELTIER: TC-1 = 92.2, HSTemp = 19.0, modeled = 71.2, rawRR C/s = 4.5, output = 100.0
(124031) RAW PELTIER: TC-1 = 92.2, HSTemp = 19.0, modeled = 71.5, rawRR C/s = 4.5, output = 100.0
