timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output
11188.735,83.32,26.12,40,65,,28.48,100
11188.735,83.32,26.12,40,65,,28.48,100
11188.735,83.32,26.12,40,65,,28.48,100
11188.735,83.32,26.12,40,65,,28.48,100
11188.885,84.08,26.29,40,65,,28.44,100
11188.885,84.08,26.29,40,65,,28.44,100
11188.885,84.08,26.29,40,65,,28.44,100
11188.885,84.08,26.29,40,65,,28.44,100
11188.885,84.08,26.29,40,65,,28.44,100
11188.885,84.08,26.29,40,65,,28.44,100
11189.035,85.03,26.48,40,65,25.27,28.41,100
11189.035,85.03,26.48,40,65,25.27,28.41,100
11189.035,85.03,26.48,40,65,25.27,28.41,100
11189.035,85.03,26.48,40,65,25.27,28.41,100
11189.035,85.03,26.48,40,65,25.27,28.41,100
11189.035,85.03,26.48,40,65,25.27,28.41,100
11189.035,85.03,26.48,40,65,25.27,28.41,100
11189.185,85.73,26.67,40,65,,28.38,100
11189.185,85.73,26.67,40,65,,28.38,100
11189.185,85.73,26.67,40,65,,28.38,100
11189.185,85.73,26.67,40,65,,28.38,100
11189.185,85.73,26.67,40,65,,28.38,100
11189.185,85.73,26.67,40,65,,28.38,100
11189.336,86.42,26.85,40,65,,28.35,100
11189.336,86.42,26.85,40,65,,28.35,100
11189.336,86.42,26.85,40,65,,28.35,100
11189.336,86.42,26.85,40,65,,28.35,100
11189.336,86.42,26.85,40,65,,28.35,100
11189.336,86.42,26.85,40,65,,28.35,100
11189.486,87.34,27.05,40,65,,28.32,100
11189.486,87.34,27.05,40,65,,28.32,100
11189.486,87.34,27.05,40,65,,28.32,100
11189.486,87.34,27.05,40,65,,28.32,100
11189.486,87.34,27.05,40,65,,28.32,100
11189.486,87.34,27.05,40,65,,28.32,100
11189.636,88.03,27.25,40,65,25.97,28.3,100
11189.636,88.03,27.25,40,65,25.97,28.3,100
11189.636,88.03,27.25,40,65,25.97,28.3,100
11189.636,88.03,27.25,40,65,25.97,28.3,100
11189.636,88.03,27.25,40,65,25.97,28.3,100
11189.636,88.03,27.25,40,65,25.97,28.3,100
11189.636,88.03,27.25,40,65,25.97,28.3,100
11189.786,88.7,27.44,40,65,,28.28,100
11189.786,88.7,27.44,40,65,,28.28,100
11189.786,88.7,27.44,40,65,,28.28,100
11189.786,88.7,27.44,40,65,,28.28,100
11189.786,88.7,27.44,40,65,,28.28,100
11189.786,88.7,27.44,40,65,,28.28,100
11189.936,89.56,27.65,40,65,,28.24,100
11189.936,89.56,27.65,40,65,,28.24,100
11189.936,89.56,27.65,40,65,,28.24,100
11189.936,89.56,27.65,40,65,,28.24,100
11189.936,89.56,27.65,40,65,,28.24,100
