timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output
3943.558,101.27,29.17,40,65,,37.92,100
3943.558,101.27,29.17,40,65,,37.92,100
3943.558,101.27,29.17,40,65,,37.92,100
3943.558,101.27,29.17,40,65,,37.92,100
3943.558,101.27,29.17,40,65,,37.92,100
3943.558,101.27,29.17,40,65,,37.92,100
3943.708,102.06,29.42,40,65,,37.89,100
3943.708,102.06,29.42,40,65,,37.89,100
3943.708,102.06,29.42,40,65,,37.89,100
3943.708,102.06,29.42,40,65,,37.89,100
3943.708,102.06,29.42,40,65,,37.89,100
3943.708,102.06,29.42,40,65,,37.89,100
3943.858,102.64,29.66,40,65,,37.87,100
3943.858,102.64,29.66,40,65,,37.87,100
3943.858,102.64,29.66,40,65,,37.87,100
3943.858,102.64,29.66,40,65,,37.87,100
3943.858,102.64,29.66,40,65,,37.87,100
3943.858,102.64,29.66,40,65,,37.87,100
3944.008,103.21,29.9,40,65,,37.83,100
3944.008,103.21,29.9,40,65,,37.83,100
3944.008,103.21,29.9,40,65,,37.83,100
3944.008,103.21,29.9,40,65,,37.83,100
3944.008,103.21,29.9,40,65,,37.83,100
3944.008,103.21,29.9,40,65,,37.83,100
3944.158,103.98,30.16,40,65,,37.81,100
3944.158,103.98,30.16,40,65,,37.81,100
3944.158,103.98,30.16,40,65,,37.81,100
3944.158,103.98,30.16,40,65,,37.81,100
3944.158,103.98,30.16,40,65,,37.81,100
3944.158,103.98,30.16,40,65,,37.81,100
3944.308,104.54,30.41,40,65,27.42,37.79,100
3944.308,104.54,30.41,40,65,27.42,37.79,100
3944.308,104.54,30.41,40,65,27.42,37.79,100
3944.308,104.54,30.41,40,65,27.42,37.79,100
3944.308,104.54,30.41,40,65,27.42,37.79,100
3944.308,104.54,30.41,40,65,27.42,37.79,100
3944.308,104.54,30.41,40,65,27.42,37.79,100
3944.458,105.08,30.65,40,65,,37.76,100
3944.458,105.08,30.65,40,65,,37.76,100
3944.458,105.08,30.65,40,65,,37.76,100
3944.458,105.08,30.65,40,65,,37.76,100
3944.458,105.08,30.65,40,65,,37.76,100
3944.458,105.08,30.65,40,65,,37.76,100
3944.608,105.8,30.92,40,65,,37.74,100
3944.608,105.8,30.92,40,65,,37.74,100
3944.608,105.8,30.92,40,65,,37.74,100
3944.608,105.8,30.92,40,65,,37.74,100
3944.608,105.8,30.92,40,65,,37.74,100
3944.608,105.8,30.92,40,65,,37.74,100
3944.758,106.36,31.17,40,65,,37.72,100
3944.758,106.36,31.17,40,65,,37.72,100
3944.758,106.36,31.17,40,65,,37.72,100
3944.758,106.36,31.17,40,65,,37.72,100
3944.758,106.36,31.17,40,65,,37.72,100
