***Stage1 ON***
[9]TC TEC set to 50°C
(1127473) _setStage1TecTempC: TEC Set Temp 50.000000
(1127474) _resetThermalControlState: RESET Peltier 0 control state
(1127478) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1127485) _setThermalControlState: thermalControl-0: changing state 3->1
(1127492) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1127500) thermalControlSetEnable: Enabling Peltier 0
(1140596) TC: TC-0 = 23.23, modeled = 16.57, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 13050, exptTempC = 0.00, TecRate = 0.209
(1140742) TC: TC-0 = 23.25, modeled = 16.60, target = 50.00, heatSink = -88.01, output = 100.0, timeout = 13200, exptTempC = 0.00, TecRate = 0.224
(1140892) TC: TC-0 = 23.27, modeled = 16.64, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 13350, exptTempC = 0.00, TecRate = 0.239
(1141041) TC: TC-0 = 23.30, modeled = 16.67, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 13500, exptTempC = 0.00, TecRate = 0.234
(1141192) TC: TC-0 = 23.32, modeled = 16.70, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 13650, exptTempC = 0.00, TecRate = 0.201
(1141342) TC: TC-0 = 23.34, modeled = 16.74, target = 50.00, heatSink = -87.57, output = 100.0, timeout = 13800, exptTempC = 0.00, TecRate = 0.229
(1141499) TC: TC-0 = 23.36, modeled = 16.77, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 13950, exptTempC = 0.00, TecRate = 0.119
(1141643) TC: TC-0 = 23.38, modeled = 16.80, target = 50.00, heatSink = -87.59, output = 100.0, timeout = 14100, exptTempC = 0.00, TecRate = 0.207
(1141793) TC: TC-0 = 23.40, modeled = 16.83, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 14250, exptTempC = 0.00, TecRate = 0.209
(1141943) TC: TC-0 = 23.42, modeled = 16.86, target = 50.00, heatSink = -87.29, output = 100.0, timeout = 14400, exptTempC = 0.00, TecRate = 0.214
(1142093) TC: TC-0 = 23.45, modeled = 16.90, target = 50.00, heatSink = -87.92, output = 100.0, timeout = 14550, exptTempC = 0.00, TecRate = 0.214
(1142244) TC: TC-0 = 23.47, modeled = 16.93, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 14700, exptTempC = 0.00, TecRate = 0.209
(1142400) TC: TC-0 = 23.48, modeled = 16.96, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 14850, exptTempC = 0.00, TecRate = 0.117
(1142545) TC: TC-0 = 23.51, modeled = 16.99, target = 50.00, heatSink = -87.57, output = 100.0, timeout = 15000, exptTempC = 0.00, TecRate = 0.258
(1142694) TC: TC-0 = 23.53, modeled = 17.03, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 15150, exptTempC = 0.00, TecRate = 0.229
(1142844) TC: TC-0 = 23.56, modeled = 17.06, target = 50.00, heatSink = -87.49, output = 100.0, timeout = 15300, exptTempC = 0.00, TecRate = 0.241
(1142995) TC: TC-0 = 23.59, modeled = 17.10, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 15450, exptTempC = 0.00, TecRate = 0.217
(1143144) TC: TC-0 = 23.61, modeled = 17.13, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 15600, exptTempC = 0.00, TecRate = 0.205
(1143301) TC: TC-0 = 23.62, modeled = 17.15, target = 50.00, heatSink = -87.96, output = 100.0, timeout = 15750, exptTempC = 0.00, TecRate = 0.115
(1143445) TC: TC-0 = 23.64, modeled = 17.18, target = 50.00, heatSink = -87.71, output = 100.0, timeout = 15900, exptTempC = 0.00, TecRate = 0.206
(1143596) TC: TC-0 = 23.66, modeled = 17.22, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 16050, exptTempC = 0.00, TecRate = 0.228
(1143746) TC: TC-0 = 23.68, modeled = 17.25, target = 50.00, heatSink = -87.24, output = 100.0, timeout = 16200, exptTempC = 0.00, TecRate = 0.196
(1143896) TC: TC-0 = 23.70, modeled = 17.28, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 16350, exptTempC = 0.00, TecRate = 0.220
(1144048) TC: TC-0 = 23.72, modeled = 17.31, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 16500, exptTempC = 0.00, TecRate = 0.225
(1144204) TC: TC-0 = 23.74, modeled = 17.34, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 16650, exptTempC = 0.00, TecRate = 0.246
(1144349) TC: TC-0 = 23.76, modeled = 17.37, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 16800, exptTempC = 0.00, TecRate = 0.212
(1144500) TC: TC-0 = 23.78, modeled = 17.40, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 16950, exptTempC = 0.00, TecRate = 0.212
(1144649) TC: TC-0 = 23.80, modeled = 17.43, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 17100, exptTempC = 0.00, TecRate = 0.194
(1144801) TC: TC-0 = 23.83, modeled = 17.47, target = 50.00, heatSink = -87.49, output = 100.0, timeout = 17250, exptTempC = 0.00, TecRate = 0.238
(1144950) TC: TC-0 = 23.85, modeled = 17.50, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 17400, exptTempC = 0.00, TecRate = 0.228
(1145107) TC: TC-0 = 23.87, modeled = 17.53, target = 50.00, heatSink = -87.71, output = 100.0, timeout = 17550, exptTempC = 0.00, TecRate = 0.111
(1145251) TC: TC-0 = 23.90, modeled = 17.57, target = 50.00, heatSink = -87.87, output = 100.0, timeout = 17700, exptTempC = 0.00, TecRate = 0.252
(1145402) TC: TC-0 = 23.95, modeled = 17.62, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 17850, exptTempC = 0.00, TecRate = 0.335
(1145551) TC: TC-0 = 24.01, modeled = 17.67, target = 50.00, heatSink = -87.71, output = 100.0, timeout = 18000, exptTempC = 0.00, TecRate = 0.352
(1145701) TC: TC-0 = 24.05, modeled = 17.72, target = 50.00, heatSink = -87.58, output = 100.0, timeout = 18150, exptTempC = 0.00, TecRate = 0.301
(1145852) TC: TC-0 = 24.10, modeled = 17.77, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 18300, exptTempC = 0.00, TecRate = 0.335
(1146009) TC: TC-0 = 24.15, modeled = 17.82, target = 50.00, heatSink = -87.79, output = 100.0, timeout = 18450, exptTempC = 0.00, TecRate = 0.362
(1146156) TC: TC-0 = 24.20, modeled = 17.86, target = 50.00, heatSink = -87.83, output = 100.0, timeout = 18600, exptTempC = 0.00, TecRate = 0.407
