***Stage1 ON***
[46]TC TEC set to 50°C
(1912774) _setStage1TecTempC: TEC Set Temp 50.000000
(1912775) _resetThermalControlState: RESET Peltier 0 control state
(1912779) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1912786) _setThermalControlState: thermalControl-0: changing state 3->1
(1912793) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1912801) thermalControlSetEnable: Enabling Peltier 0
(1929108) TC: TC-0 = 100.11, modeled = 28.21, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 16300, exptTempC = 50.00, TecRate = 1.511
(1929261) TC: TC-0 = 100.17, modeled = 28.44, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 16450, exptTempC = 50.00, TecRate = 1.507
(1929416) TC: TC-0 = 100.20, modeled = 28.67, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 16600, exptTempC = 50.00, TecRate = 1.502
(1929560) TC: TC-0 = 100.26, modeled = 28.89, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 16750, exptTempC = 50.00, TecRate = 1.498
(1929710) TC: TC-0 = 100.32, modeled = 29.12, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 16900, exptTempC = 50.00, TecRate = 1.494
(1929860) TC: TC-0 = 100.36, modeled = 29.34, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 17050, exptTempC = 50.00, TecRate = 1.490
(1930010) TC: TC-0 = 100.41, modeled = 29.56, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 17200, exptTempC = 50.00, TecRate = 1.486
(1930165) TC: TC-0 = 100.47, modeled = 29.78, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 17350, exptTempC = 50.00, TecRate = 1.482
(1930311) TC: TC-0 = 100.50, modeled = 30.01, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 17500, exptTempC = 50.00, TecRate = 1.477
(1930461) TC: TC-0 = 100.55, modeled = 30.23, target = 50.00, heatSink = -86.79, output = 100.0, timeout = 17650, exptTempC = 50.00, TecRate = 1.473
(1930612) TC: TC-0 = 100.60, modeled = 30.45, target = 50.00, heatSink = -86.51, output = 100.0, timeout = 17800, exptTempC = 50.00, TecRate = 1.469
(1930761) TC: TC-0 = 100.65, modeled = 30.67, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 17950, exptTempC = 50.00, TecRate = 1.465
(1930911) TC: TC-0 = 100.71, modeled = 30.89, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 18100, exptTempC = 50.00, TecRate = 1.461
(1931066) TC: TC-0 = 100.75, modeled = 31.11, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 18250, exptTempC = 50.00, TecRate = 1.457
(1931212) TC: TC-0 = 100.77, modeled = 31.32, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 18400, exptTempC = 50.00, TecRate = 1.452
(1931362) TC: TC-0 = 100.82, modeled = 31.54, target = 50.00, heatSink = -86.63, output = 100.0, timeout = 18550, exptTempC = 50.00, TecRate = 1.448
(1931512) TC: TC-0 = 100.86, modeled = 31.76, target = 50.00, heatSink = -86.51, output = 100.0, timeout = 18700, exptTempC = 50.00, TecRate = 1.444
(1931662) TC: TC-0 = 100.90, modeled = 31.97, target = 50.00, heatSink = -87.06, output = 100.0, timeout = 18850, exptTempC = 50.00, TecRate = 1.440
(1931812) TC: TC-0 = 100.93, modeled = 32.19, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 19000, exptTempC = 50.00, TecRate = 1.435
(1931966) TC: TC-0 = 100.97, modeled = 32.40, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 19150, exptTempC = 50.00, TecRate = 1.431
(1932112) TC: TC-0 = 101.00, modeled = 32.62, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 19300, exptTempC = 50.00, TecRate = 1.427
(1932261) TC: TC-0 = 101.04, modeled = 32.83, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 19450, exptTempC = 50.00, TecRate = 1.422
(1932412) TC: TC-0 = 101.07, modeled = 33.05, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 19600, exptTempC = 50.00, TecRate = 1.418
(1932561) TC: TC-0 = 101.11, modeled = 33.26, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 19750, exptTempC = 50.00, TecRate = 1.414
(1932712) TC: TC-0 = 101.14, modeled = 33.47, target = 50.00, heatSink = -86.87, output = 100.0, timeout = 19900, exptTempC = 50.00, TecRate = 1.410
(1932867) TC: TC-0 = 101.17, modeled = 33.68, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 20050, exptTempC = 50.00, TecRate = 1.405
