***Stage1 ON***
[113]TC TEC set to 50°C
(6218536) _setStage1TecTempC: TEC Set Temp 50.000000
(6218537) _resetThermalControlState: RESET Peltier 0 control state
(6218541) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(6218548) _setThermalControlState: thermalControl-0: changing state 3->1
(6218555) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(6218563) thermalControlSetEnable: Enabling Peltier 0
(6233032) TC: TC-0 = 69.24, modeled = 8.54, target = 50.00, heatSink = -86.58, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.267
(6233187) TC: TC-0 = 69.58, modeled = 8.73, target = 50.00, heatSink = -86.54, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.270
(6233332) TC: TC-0 = 70.11, modeled = 8.92, target = 50.00, heatSink = -86.28, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.277
(6233482) TC: TC-0 = 70.61, modeled = 9.11, target = 50.00, heatSink = -85.93, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.284
(6233632) TC: TC-0 = 71.09, modeled = 9.30, target = 50.00, heatSink = -86.08, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.290
(6233783) TC: TC-0 = 71.56, modeled = 9.50, target = 50.00, heatSink = -86.23, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.296
(6233933) TC: TC-0 = 72.05, modeled = 9.69, target = 50.00, heatSink = -86.43, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.302
(6234088) TC: TC-0 = 72.36, modeled = 9.89, target = 50.00, heatSink = -86.46, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.304
(6234233) TC: TC-0 = 72.82, modeled = 10.08, target = 50.00, heatSink = -86.23, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.310
(6234383) TC: TC-0 = 73.28, modeled = 10.28, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.316
(6234533) TC: TC-0 = 73.71, modeled = 10.48, target = 50.00, heatSink = -85.98, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.320
(6234683) TC: TC-0 = 74.14, modeled = 10.68, target = 50.00, heatSink = -86.47, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.325
(6234833) TC: TC-0 = 74.56, modeled = 10.88, target = 50.00, heatSink = -86.62, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.330
(6234989) TC: TC-0 = 74.84, modeled = 11.08, target = 50.00, heatSink = -86.50, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.331
(6235136) TC: TC-0 = 75.25, modeled = 11.28, target = 50.00, heatSink = -86.43, output = 0.0, timeout = 0, exptTempC = 0.00, TecRate = 1.336
