(5109343) TC: TC-0 = 90.42, modeled = 36.28, target = 50.00, heatSink = -86.83, output = 100.0, timeout = 16750, exptTempC = 0.00, TecRate = 2.180
(5109493) TC: TC-0 = 91.05, modeled = 36.62, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 16900, exptTempC = 0.00, TecRate = 2.296
(5109643) TC: TC-0 = 91.64, modeled = 36.96, target = 50.00, heatSink = -86.58, output = 100.0, timeout = 17050, exptTempC = 0.00, TecRate = 2.141
(5109799) TC: TC-0 = 92.00, modeled = 37.23, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 17200, exptTempC = 0.00, TecRate = 1.115
(5109944) TC: TC-0 = 92.50, modeled = 37.54, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 17350, exptTempC = 0.00, TecRate = 2.041
(5110094) TC: TC-0 = 92.97, modeled = 37.85, target = 50.00, heatSink = -86.75, output = 100.0, timeout = 17500, exptTempC = 0.00, TecRate = 2.014
(5110244) TC: TC-0 = 93.40, modeled = 38.15, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 17650, exptTempC = 0.00, TecRate = 1.975
(5110394) TC: TC-0 = 93.81, modeled = 38.44, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 17800, exptTempC = 0.00, TecRate = 1.949
(5110543) TC: TC-0 = 94.20, modeled = 38.73, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 17950, exptTempC = 0.00, TecRate = 1.950
(5110698) TC: TC-0 = 94.58, modeled = 39.02, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 18100, exptTempC = 0.00, TecRate = 1.974
(5110844) TC: TC-0 = 94.82, modeled = 39.27, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 18250, exptTempC = 0.00, TecRate = 1.875
(5110994) TC: TC-0 = 95.15, modeled = 39.55, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 18400, exptTempC = 0.00, TecRate = 1.787
(5111145) TC: TC-0 = 95.45, modeled = 39.82, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 18550, exptTempC = 0.00, TecRate = 1.813
(5111295) TC: TC-0 = 95.73, modeled = 40.08, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 18700, exptTempC = 0.00, TecRate = 1.739
(5111445) TC: TC-0 = 96.00, modeled = 40.34, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 18850, exptTempC = 0.00, TecRate = 1.763
(5111599) TC: TC-0 = 96.27, modeled = 40.61, target = 50.00, heatSink = -86.59, output = 100.0, timeout = 19000, exptTempC = 0.00, TecRate = 1.803
(5111745) TC: TC-0 = 96.43, modeled = 40.83, target = 50.00, heatSink = -86.92, output = 100.0, timeout = 19150, exptTempC = 0.00, TecRate = 1.693
(5111895) TC: TC-0 = 96.64, modeled = 41.08, target = 50.00, heatSink = -86.80, output = 100.0, timeout = 19300, exptTempC = 0.00, TecRate = 1.654
(5112046) TC: TC-0 = 96.88, modeled = 41.34, target = 50.00, heatSink = -86.67, output = 100.0, timeout = 19450, exptTempC = 0.00, TecRate = 1.718
(5112197) TC: TC-0 = 97.08, modeled = 41.58, target = 50.00, heatSink = -86.71, output = 100.0, timeout = 19600, exptTempC = 0.00, TecRate = 1.558
(5112346) TC: TC-0 = 97.27, modeled = 41.82, target = 50.00, heatSink = -86.82, output = 100.0, timeout = 19750, exptTempC = 0.00, TecRate = 1.573
(5112498) TC: TC-0 = 97.45, modeled = 42.06, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 19900, exptTempC = 0.00, TecRate = 1.579
(5112653) TC: TC-0 = 97.56, modeled = 42.27, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 20050, exptTempC = 0.00, TecRate = 1.567
(5112798) TC: TC-0 = 97.74, modeled = 42.51, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 20200, exptTempC = 0.00, TecRate = 1.629
(5112949) TC: TC-0 = 97.89, modeled = 42.74, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 20350, exptTempC = 0.00, TecRate = 1.537
(5113099) TC: TC-0 = 98.04, modeled = 42.97, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 20500, exptTempC = 0.00, TecRate = 1.516
(5113249) TC: TC-0 = 98.18, modeled = 43.20, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 20650, exptTempC = 0.00, TecRate = 1.469
(5113398) TC: TC-0 = 98.31, modeled = 43.42, target = 50.00, heatSink = -86.63, output = 100.0, timeout = 20800, exptTempC = 0.00, TecRate = 1.495
(5113556) TC: TC-0 = 98.41, modeled = 43.63, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 20950, exptTempC = 0.00, TecRate = 1.091
(5113700) TC: TC-0 = 98.53, modeled = 43.85, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 21100, exptTempC = 0.00, TecRate = 1.421
(5113852) TC: TC-0 = 98.66, modeled = 44.07, target = 50.00, heatSink = -86.71, output = 100.0, timeout = 21250, exptTempC = 0.00, TecRate = 1.421
(5114002) TC: TC-0 = 98.78, modeled = 44.29, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 21400, exptTempC = 0.00, TecRate = 1.434
(5114152) TC: TC-0 = 98.89, modeled = 44.51, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 21550, exptTempC = 0.00, TecRate = 1.431
(5114302) TC: TC-0 = 99.01, modeled = 44.72, target = 50.00, heatSink = -86.90, output = 100.0, timeout = 21700, exptTempC = 0.00, TecRate = 1.423
(5114457) TC: TC-0 = 99.07, modeled = 44.92, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 21850, exptTempC = 0.00, TecRate = 1.084
(5114601) TC: TC-0 = 99.18, modeled = 45.09, target = 50.00, heatSink = -87.36, output = 100.0, timeout = 22000, exptTempC = 0.00, TecRate = 1.083
(5114753) TC: TC-0 = 99.29, modeled = 45.25, target = 50.00, heatSink = -86.91, output = 100.0, timeout = 22150, exptTempC = 0.00, TecRate = 1.082
(5114902) TC: TC-0 = 99.39, modeled = 45.41, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 22300, exptTempC = 0.00, TecRate = 1.080
(5115053) TC: TC-0 = 99.48, modeled = 45.57, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 22450, exptTempC = 0.00, TecRate = 1.078
(5115203) TC: TC-0 = 99.56, modeled = 45.73, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 22600, exptTempC = 0.00, TecRate = 1.077
(5115357) TC: TC-0 = 99.63, modeled = 45.90, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 22750, exptTempC = 0.00, TecRate = 1.074
(5115502) TC: TC-0 = 99.72, modeled = 46.06, target = 50.00, heatSink = -86.32, output = 100.0, timeout = 22900, exptTempC = 0.00, TecRate = 1.073
(5115653) TC: TC-0 = 99.78, modeled = 46.22, target = 50.00, heatSink = -86.83, output = 100.0, timeout = 23050, exptTempC = 0.00, TecRate = 1.070
(5115803) TC: TC-0 = 99.85, modeled = 46.38, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 23200, exptTempC = 0.00, TecRate = 1.068
(5115953) TC: TC-0 = 99.93, modeled = 46.54, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 23350, exptTempC = 0.00, TecRate = 1.066
(5116107) TC: TC-0 = 100.00, modeled = 46.70, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 23500, exptTempC = 0.00, TecRate = 1.064
(5116253) TC: TC-0 = 100.06, modeled = 46.86, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 23650, exptTempC = 0.00, TecRate = 1.062
(5116402) TC: TC-0 = 100.11, modeled = 47.02, target = 50.00, heatSink = -86.78, output = 100.0, timeout = 23800, exptTempC = 0.00, TecRate = 1.059
(5116553) TC: TC-0 = 100.18, modeled = 47.17, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 23950, exptTempC = 0.00, TecRate = 1.057
(5116704) TC: TC-0 = 100.23, modeled = 47.33, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 24100, exptTempC = 0.00, TecRate = 1.054
(5116853) TC: TC-0 = 100.29, modeled = 47.49, target = 50.00, heatSink = -86.62, output = 100.0, timeout = 24250, exptTempC = 0.00, TecRate = 1.052
(5117006) TC: TC-0 = 100.35, modeled = 47.65, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 24400, exptTempC = 0.00, TecRate = 1.050
(5117160) TC: TC-0 = 100.38, modeled = 47.80, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 24550, exptTempC = 0.00, TecRate = 1.047
(5117305) TC: TC-0 = 100.43, modeled = 47.96, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 24700, exptTempC = 0.00, TecRate = 1.044
(5117455) TC: TC-0 = 100.48, modeled = 48.12, target = 50.00, heatSink = -86.74, output = 100.0, timeout = 24850, exptTempC = 0.00, TecRate = 1.042
(5117605) TC: TC-0 = 100.53, modeled = 48.27, target = 50.00, heatSink = -86.70, output = 100.0, timeout = 25000, exptTempC = 0.00, TecRate = 1.039
