timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Ramp Set TempC,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2766.786,49.2,39.84,65.0,32.34,35.13,,,,,,,,,,,,,
2766.934,50.44,40.74,65.0,32.28,35.13,,,,,,,,,,,,,
2766.934,50.44,40.74,65.0,32.28,35.13,,,,,,,,,,,,,
2766.934,50.44,40.74,65.0,32.28,35.13,,,,,,,,,,,,,
2766.934,50.44,40.74,65.0,32.28,35.13,,,,,,,,,,,,,
2766.934,50.44,40.74,65.0,32.28,35.13,,,,,,,,,,,,,
2767.101,52.34,41.68,65.0,32.19,35.13,,,,,,,,,,,,,
2767.101,52.34,41.68,65.0,32.19,35.13,,,,,,,,,,,,,
2767.101,52.34,41.68,65.0,32.19,35.13,,,,,,,,,,,,,
2767.101,52.34,41.68,65.0,32.19,35.13,,,,,,,,,,,,,
2767.101,52.34,41.68,65.0,32.19,35.13,,,,,,,,,,,,,
2767.253,54.27,42.66,65.0,32.1,35.13,,,,,,,,,,,,,
2767.253,54.27,42.66,65.0,32.1,35.13,,,,,,,,,,,,,
2767.253,54.27,42.66,65.0,32.1,35.13,,,,,,,,,,,,,
2767.253,54.27,42.66,65.0,32.1,35.13,,,,,,,,,,,,,
2767.253,54.27,42.66,65.0,32.1,35.13,,,,,,,,,,,,,
2767.418,56.03,43.69,65.0,32.05,35.13,,,,,,,,,,,,,
2767.418,56.03,43.69,65.0,32.05,35.13,,,,,,,,,,,,,
2767.418,56.03,43.69,65.0,32.05,35.13,,,,,,,,,,,,,
2767.418,56.03,43.69,65.0,32.05,35.13,,,,,,,,,,,,,
2767.418,56.03,43.69,65.0,32.05,35.13,,,,,,,,,,,,,
2767.568,57.89,44.73,65.0,31.97,35.13,,,,,,,,,,,,,
2767.568,57.89,44.73,65.0,31.97,35.13,,,,,,,,,,,,,
2767.568,57.89,44.73,65.0,31.97,35.13,,,,,,,,,,,,,
2767.568,57.89,44.73,65.0,31.97,35.13,,,,,,,,,,,,,
2767.568,57.89,44.73,65.0,31.97,35.13,,,,,,,,,,,,,
2767.735,59.73,45.8,65.0,31.91,35.13,,,,,,,,,,,,,
2767.735,59.73,45.8,65.0,31.91,35.13,,,,,,,,,,,,,
2767.735,59.73,45.8,65.0,31.91,35.13,,,,,,,,,,,,,
2767.735,59.73,45.8,65.0,31.91,35.13,,,,,,,,,,,,,
2767.735,59.73,45.8,65.0,31.91,35.13,,,,,,,,,,,,,
2767.885,61.54,46.9,65.0,31.87,35.13,,,,,,,,,,,,,
2767.885,61.54,46.9,65.0,31.87,35.13,,,,,,,,,,,,,
2767.885,61.54,46.9,65.0,31.87,35.13,,,,,,,,,,,,,
2767.885,61.54,46.9,65.0,31.87,35.13,,,,,,,,,,,,,
2767.885,61.54,46.9,65.0,31.87,35.13,,,,,,,,,,,,,
2768.052,63.19,48.0,65.0,31.79,35.13,,,,,,,,,,,,,
2768.052,63.19,48.0,65.0,31.79,35.13,,,,,,,,,,,,,
2768.052,63.19,48.0,65.0,31.79,35.13,,,,,,,,,,,,,
2768.052,63.19,48.0,65.0,31.79,35.13,,,,,,,,,,,,,
2768.052,63.19,48.0,65.0,31.79,35.13,,,,,,,,,,,,,
2768.202,64.79,49.11,65.0,31.73,35.13,,,,,,,,,,,,,
2768.202,64.79,49.11,65.0,31.73,35.13,,,,,,,,,,,,,
2768.202,64.79,49.11,65.0,31.73,35.13,,,,,,,,,,,,,
2768.202,64.79,49.11,65.0,31.73,35.13,,,,,,,,,,,,,
2768.202,64.79,49.11,65.0,31.73,35.13,,,,,,,,,,,,,
2768.393,66.4,50.25,65.0,31.68,35.13,,,,,,,,,,,,,
2768.393,66.4,50.25,65.0,31.68,35.13,,,,,,,,,,,,,
2768.393,66.4,50.25,65.0,31.68,35.13,,,,,,,,,,,,,
2768.393,66.4,50.25,65.0,31.68,35.13,,,,,,,,,,,,,
2768.393,66.4,50.25,65.0,31.68,35.13,,,,,,,,,,,,,
2768.544,68.09,51.35,65.0,31.63,35.13,,,,,,,,,,,,,
2768.544,68.09,51.35,65.0,31.63,35.13,,,,,,,,,,,,,
2768.544,68.09,51.35,65.0,31.63,35.13,,,,,,,,,,,,,
2768.544,68.09,51.35,65.0,31.63,35.13,,,,,,,,,,,,,
2768.544,68.09,51.35,65.0,31.63,35.13,,,,,,,,,,,,,
2768.729,70.05,52.51,65.0,31.58,35.13,,,,,,,,,,,,,
2768.729,70.05,52.51,65.0,31.58,35.13,,,,,,,,,,,,,
2768.729,70.05,52.51,65.0,31.58,35.13,,,,,,,,,,,,,
2768.729,70.05,52.51,65.0,31.58,35.13,,,,,,,,,,,,,
2768.729,70.05,52.51,65.0,31.58,35.13,,,,,,,,,,,,,
2768.874,71.64,53.65,65.0,31.55,35.13,,,,,,,,,,,,,
2768.874,71.64,53.65,65.0,31.55,35.13,,,,,,,,,,,,,
2768.874,71.64,53.65,65.0,31.55,35.13,,,,,,,,,,,,,
2768.874,71.64,53.65,65.0,31.55,35.13,,,,,,,,,,,,,
2768.874,71.64,53.65,65.0,31.55,35.13,,,,,,,,,,,,,
2769.024,73.03,54.77,65.0,31.51,35.13,,,,,,,,,,,,,
2769.024,73.03,54.77,65.0,31.51,35.13,,,,,,,,,,,,,
2769.024,73.03,54.77,65.0,31.51,35.13,,,,,,,,,,,,,
2769.024,73.03,54.77,65.0,31.51,35.13,,,,,,,,,,,,,
2769.024,73.03,54.77,65.0,31.51,35.13,,,,,,,,,,,,,
2769.174,74.29,55.86,65.0,31.48,35.13,,,,,,,,,,,,,
2769.174,74.29,55.86,65.0,31.48,35.13,,,,,,,,,,,,,
2769.174,74.29,55.86,65.0,31.48,35.13,,,,,,,,,,,,,
2769.174,74.29,55.86,65.0,31.48,35.13,,,,,,,,,,,,,
2769.174,74.29,55.86,65.0,31.48,35.13,,,,,,,,,,,,,
2769.33,75.95,56.97,65.0,31.45,35.13,,,,,,,,,,,,,
2769.33,75.95,56.97,65.0,31.45,35.13,,,,,,,,,,,,,
2769.33,75.95,56.97,65.0,31.45,35.13,,,,,,,,,,,,,
2769.33,75.95,56.97,65.0,31.45,35.13,,,,,,,,,,,,,
2769.33,75.95,56.97,65.0,31.45,35.13,,,,,,,,,,,,,
2769.48,77.15,58.04,65.0,31.41,35.13,,,,,,,,,,,,,
2769.48,77.15,58.04,65.0,31.41,35.13,,,,,,,,,,,,,
2769.48,77.15,58.04,65.0,31.41,35.13,,,,,,,,,,,,,
2769.48,77.15,58.04,65.0,31.41,35.13,,,,,,,,,,,,,
2769.48,77.15,58.04,65.0,31.41,35.13,,,,,,,,,,,,,
2769.63,78.36,59.07,65.0,31.38,35.13,,,,,,,,,,,,,
2769.63,78.36,59.07,65.0,31.38,35.13,,,,,,,,,,,,,
2769.63,78.36,59.07,65.0,31.38,35.13,,,,,,,,,,,,,
2769.63,78.36,59.07,65.0,31.38,35.13,,,,,,,,,,,,,
2769.63,78.36,59.07,65.0,31.38,35.13,,,,,,,,,,,,,
2769.78,79.85,60.13,65.0,31.37,35.13,,,,,,,,,,,,,
2769.78,79.85,60.13,65.0,31.37,35.13,,,,,,,,,,,,,
2769.78,79.85,60.13,65.0,31.37,35.13,,,,,,,,,,,,,
2769.78,79.85,60.13,65.0,31.37,35.13,,,,,,,,,,,,,
2769.78,79.85,60.13,65.0,31.37,35.13,,,,,,,,,,,,,
2769.93,80.76,61.13,65.0,31.4,35.13,,,,,,,,,,,,,
2769.93,80.76,61.13,65.0,31.4,35.13,,,,,,,,,,,,,
2769.93,80.76,61.13,65.0,31.4,35.13,,,,,,,,,,,,,
2769.93,80.76,61.13,65.0,31.4,35.13,,,,,,,,,,,,,
2769.93,80.76,61.13,65.0,31.4,35.13,,,,,,,,,,,,,
2770.08,81.34,62.05,65.0,31.5,35.13,,,,,,,,,,,,,
