ID,inst,cp,tm,type,lot,fmax
9a06183c-d45b-428a-bdd4-444b1611140a,9,37,84,PMMV With PK,2954,50
4b43eacc-25bc-48f7-824b-a554c9a22ded,9,37,84,PMMV With PK,3012,37
ca7ffe31-0d21-48c1-a22b-57d7dd830850,15,27,85,PMMV With PK,3012,648
5c2e2e39-23e7-4fd8-a9ec-82298c860170,13,28,85,PMMV With PK,2954,409
8f8df365-16b6-4ad1-9f62-3ac850933a83,18,28,85,PMMV With PK,2954,439
a13c47ad-b087-49f7-afd0-59d6e0b98521,2,30,85,PMMV With PK,3012,13
b24a7449-60bd-44fc-b7cf-e0acceee1259,10,30,85,PMMV With PK,2954,77
a33b62fb-5a1d-4423-9f46-cd997d163c46,15,30,85,PMMV With PK,2954,243
112e42cf-06c8-474d-a7e7-2f0e89702b7c,18,30,85,PMMV With PK,2954,291
f2732843-31a6-4448-8b6e-930f35b80058,25,30,85,PMMV With PK,2954,132
30714dec-729e-4919-a90d-dd1fdb9a1330,25,31,85,PMMV With PK,2954,125
031656be-5b98-457e-a348-eb9884dc18f2,10,32,85,PMMV With PK,3012,233
9b24dde9-c4c0-4f9d-8c3e-78effbdeb95b,13,32,85,PMMV With PK,2954,298
2ba978cc-b809-4a1d-ac41-919159b85994,15,32,85,PMMV With PK,2954,216
dd27d6f5-6fa8-4c57-81a3-bcc321bfa706,1,18,87,SNP928 With PK,3028,-2583
94e3d728-ba15-45ee-b49a-1b0df156b98d,9,23,87,PMMV With PK,3012,-7751
89c37745-f1c1-479c-a62c-0f6281306467,2,20,nan,PMMV With PK,3012,-7
350e5f28-c2a2-4799-932a-5e87fb8ea529,27,8,nan,PMMV With PK,2954,-36
6340f779-023e-4f7a-bd15-b7a25f4515f4,25,15,nan,PMMV With PK,2954,-10
7dad932e-3835-4434-9365-b5f7bebf942c,2,16,nan,SNP928 With PK,3028,-116
a6343ae9-ab53-4095-86dd-70973d75b5d1,9,19,nan,PMMV With PK,3012,-25
fefe0b49-4305-4891-b93a-fc123d78cc06,13,19,nan,PMMV With PK,2954,-18
