timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
7146.251,99.96,90.7,90,,35.29
7146.251,99.96,90.7,90,,35.29
7146.255,,,,94.96,
7146.401,99.66,90.66,90,,35.31
7146.401,99.66,90.66,90,,35.31
7146.401,99.66,90.66,90,,35.31
7146.401,99.66,90.66,90,,35.31
7146.551,99.25,90.62,90,,35.33
7146.551,99.25,90.62,90,,35.33
7146.551,99.25,90.62,90,,35.33
7146.551,99.25,90.62,90,,35.33
7146.701,98.96,90.57,90,,35.35
7146.701,98.96,90.57,90,,35.35
7146.701,98.96,90.57,90,,35.35
7146.701,98.96,90.57,90,,35.35
7146.851,98.69,90.53,90,93.76,35.36
7146.851,98.69,90.53,90,93.76,35.36
7146.851,98.69,90.53,90,93.76,35.36
7146.851,98.69,90.53,90,93.76,35.36
7146.851,98.69,90.53,90,93.76,35.36
7147.001,98.32,90.49,90,,35.38
7147.001,98.32,90.49,90,,35.38
7147.001,98.32,90.49,90,,35.38
7147.001,98.32,90.49,90,,35.38
7147.151,98.06,90.45,90,,35.4
7147.151,98.06,90.45,90,,35.4
7147.151,98.06,90.45,90,,35.4
7147.151,98.06,90.45,90,,35.4
7147.301,97.83,90.41,90,,35.41
7147.301,97.83,90.41,90,,35.41
7147.301,97.83,90.41,90,,35.41
7147.301,97.83,90.41,90,,35.41
7147.451,97.47,90.37,90,92.82,35.42
7147.451,97.47,90.37,90,92.82,35.42
7147.451,97.47,90.37,90,92.82,35.42
7147.451,97.47,90.37,90,92.82,35.42
7147.451,97.47,90.37,90,92.82,35.42
7147.6,97.23,90.33,90,,35.44
7147.6,97.23,90.33,90,,35.44
7147.6,97.23,90.33,90,,35.44
7147.6,97.23,90.33,90,,35.44
7147.751,97.01,90.29,90,,35.44
7147.751,97.01,90.29,90,,35.44
7147.751,97.01,90.29,90,,35.44
7147.751,97.01,90.29,90,,35.44
7147.901,96.77,90.26,90,,35.45
7147.901,96.77,90.26,90,,35.45
7147.901,96.77,90.26,90,,35.45
7147.901,96.77,90.26,90,,35.45
7148.051,96.47,90.21,90,91.91,35.46
7148.051,96.47,90.21,90,91.91,35.46
7148.051,96.47,90.21,90,91.91,35.46
7148.051,96.47,90.21,90,91.91,35.46
7148.051,96.47,90.21,90,91.91,35.46
7148.201,96.28,90.18,90,,35.46
7148.201,96.28,90.18,90,,35.46
7148.201,96.28,90.18,90,,35.46
7148.201,96.28,90.18,90,,35.46
7148.351,96.08,90.16,90,,35.47
7148.351,96.08,90.16,90,,35.47
7148.351,96.08,90.16,90,,35.47
7148.351,96.08,90.16,90,,35.47
7148.501,95.79,90.11,90,,35.48
7148.501,95.79,90.11,90,,35.48
7148.501,95.79,90.11,90,,35.48
7148.501,95.79,90.11,90,,35.48
7148.651,95.62,90.08,90,91.18,35.48
7148.651,95.62,90.08,90,91.18,35.48
7148.651,95.62,90.08,90,91.18,35.48
7148.651,95.62,90.08,90,91.18,35.48
7148.651,95.62,90.08,90,91.18,35.48
7148.801,95.46,90.06,90,,35.49
7148.801,95.46,90.06,90,,35.49
7148.801,95.46,90.06,90,,35.49
7148.801,95.46,90.06,90,,35.49
7148.951,95.22,90.03,90,,35.5
7148.951,95.22,90.03,90,,35.5
7148.951,95.22,90.03,90,,35.5
7148.951,95.22,90.03,90,,35.5
7149.101,95.07,90,90,,35.5
7149.101,95.07,90,90,,35.5
7149.101,95.07,90,90,,35.5
7149.101,95.07,90,90,,35.5
7149.251,94.91,89.99,90,90.6,35.51
7149.251,94.91,89.99,90,90.6,35.51
7149.251,94.91,89.99,90,90.6,35.51
7149.251,94.91,89.99,90,90.6,35.51
7149.251,94.91,89.99,90,90.6,35.51
7149.402,94.73,89.97,90,,35.52
7149.402,94.73,89.97,90,,35.52
7149.402,94.73,89.97,90,,35.52
7149.402,94.73,89.97,90,,35.52
7149.548,94.59,89.95,80,,35.52
7149.548,94.59,89.95,80,,35.52
7149.548,94.59,89.95,80,,35.52
7149.548,94.59,89.95,80,,35.52
7149.697,94.46,89.94,80,,35.53
7149.697,94.46,89.94,80,,35.53
7149.697,94.46,89.94,80,,35.53
7149.697,94.46,89.94,80,,35.53
7149.849,94.2,89.91,80,89.69,35.54
7149.849,94.2,89.91,80,89.69,35.54
7149.849,94.2,89.91,80,89.69,35.54
7149.849,94.2,89.91,80,89.69,35.54
7149.849,94.2,89.91,80,89.69,35.54
7149.999,93.74,89.82,80,,35.58
7149.999,93.74,89.82,80,,35.58
7149.999,93.74,89.82,80,,35.58
7149.999,93.74,89.82,80,,35.58
7150.149,93.02,89.65,80,,35.65
7150.149,93.02,89.65,80,,35.65
7150.149,93.02,89.65,80,,35.65
7150.149,93.02,89.65,80,,35.65
7150.298,91.73,89.31,80,,35.79
7150.298,91.73,89.31,80,,35.79
7150.298,91.73,89.31,80,,35.79
7150.298,91.73,89.31,80,,35.79
7150.449,90.6,88.88,80,85.09,35.93
7150.449,90.6,88.88,80,85.09,35.93
7150.449,90.6,88.88,80,85.09,35.93
7150.449,90.6,88.88,80,85.09,35.93
7150.449,90.6,88.88,80,85.09,35.93
7150.599,89.41,88.39,80,,36.08
7150.599,89.41,88.39,80,,36.08
7150.599,89.41,88.39,80,,36.08
7150.599,89.41,88.39,80,,36.08
7150.75,87.75,87.77,80,,36.3
7150.75,87.75,87.77,80,,36.3
7150.75,87.75,87.77,80,,36.3
7150.75,87.75,87.77,80,,36.3
