***PCR ON***
[60]PCR TEC set to 50°C
(4352690) _setPcrTecTempC: TEC Set Temp 50.000000
(4352691) _applyThermalBrakeUpdate: Worst Temp: 97.022705
(4352694) _updateInertiaCompensation: overshoot: 47.022705, updatedComp: 47.022705, atIndex: 4 atTemp: 50.0
(4352705) _resetThermalControlState: RESET Peltier 1 control state
(4352711) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(4352719) _setThermalControlState: thermalControl-1: changing state 3->1
(4352726) tecCurvePredictorSetHoldPower: hold power: -154627.453125 filtered: -130606.437500 temp: 23.575153
(4352737) thermalControlSetEnable: Enabling Peltier 1
(4352745) _findInertiaCompensation: Inertia Compensation is too large: 47.022705
(4352751) _findInertiaCompensation: Resetting IC to 0...
(4352757) taskMonitor_task: Task Thermal Control Task hasn't checked in for 100 ms
(4352765) stashException: Exception Stashed (0x0B1E1)
(4352773) printException: ************
(4352776) printException: Error Code:  (0x0000B1E1)
(4352782) thermalControlTask: thermal control sleep.
(4352787) printException: Originator:   (0x0B)  System
(4352793) printException: Error Type:  (0x1E)  Inertia Compenstaion Reset
(4352801) printException: Priority:       (0x01)  Log Only
(4359740) TC: TC-1 = 24.82, modeled = 24.16, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 6950, exptTempC = 50.00, TecRate = 0.427
(4359892) TC: TC-1 = 24.90, modeled = 24.22, target = 50.00, heatSink = -88.10, output = 100.0, timeout = 7100, exptTempC = 50.00, TecRate = 0.412
(4360038) TC: TC-1 = 25.01, modeled = 24.28, target = 50.00, heatSink = -87.31, output = 100.0, timeout = 7250, exptTempC = 50.00, TecRate = 0.426
(4360188) TC: TC-1 = 25.11, modeled = 24.35, target = 50.00, heatSink = -87.59, output = 100.0, timeout = 7400, exptTempC = 50.00, TecRate = 0.433
(4360339) TC: TC-1 = 25.21, modeled = 24.41, target = 50.00, heatSink = -87.74, output = 100.0, timeout = 7550, exptTempC = 50.00, TecRate = 0.440
(4360488) TC: TC-1 = 25.31, modeled = 24.48, target = 50.00, heatSink = -88.33, output = 100.0, timeout = 7700, exptTempC = 50.00, TecRate = 0.444
(4360641) TC: TC-1 = 25.45, modeled = 24.55, target = 50.00, heatSink = -88.06, output = 100.0, timeout = 7850, exptTempC = 50.00, TecRate = 0.487
(4360796) TC: TC-1 = 25.68, modeled = 24.63, target = 50.00, heatSink = -87.84, output = 100.0, timeout = 8000, exptTempC = 50.00, TecRate = 0.545
(4360941) TC: TC-1 = 26.47, modeled = 24.78, target = 50.00, heatSink = -87.84, output = 100.0, timeout = 8150, exptTempC = 50.00, TecRate = 1.181
(4361092) TC: TC-1 = 27.88, modeled = 25.04, target = 50.00, heatSink = -87.50, output = 100.0, timeout = 8300, exptTempC = 50.00, TecRate = 2.118
(4361241) TC: TC-1 = 29.74, modeled = 25.47, target = 50.00, heatSink = -87.46, output = 100.0, timeout = 8450, exptTempC = 50.00, TecRate = 3.202
(4361392) TC: TC-1 = 31.92, modeled = 26.06, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 8600, exptTempC = 50.00, TecRate = 4.307
(4361542) TC: TC-1 = 34.18, modeled = 26.80, target = 50.00, heatSink = -88.01, output = 100.0, timeout = 8750, exptTempC = 50.00, TecRate = 5.265
(4361699) TC: TC-1 = 35.81, modeled = 27.64, target = 50.00, heatSink = -88.28, output = 100.0, timeout = 8900, exptTempC = 50.00, TecRate = 5.224
(4361843) TC: TC-1 = 38.34, modeled = 28.57, target = 50.00, heatSink = -88.11, output = 100.0, timeout = 9050, exptTempC = 50.00, TecRate = 6.496
(4361994) TC: TC-1 = 40.83, modeled = 29.62, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 9200, exptTempC = 50.00, TecRate = 7.224
(4362143) TC: TC-1 = 43.19, modeled = 30.75, target = 50.00, heatSink = -87.95, output = 100.0, timeout = 9350, exptTempC = 50.00, TecRate = 7.725
(4362294) TC: TC-1 = 45.44, modeled = 31.95, target = 50.00, heatSink = -87.98, output = 100.0, timeout = 9500, exptTempC = 50.00, TecRate = 8.068
(4362450) TC: TC-1 = 47.61, modeled = 33.18, target = 50.00, heatSink = -87.80, output = 100.0, timeout = 9650, exptTempC = 50.00, TecRate = 8.301
(4362601) TC: TC-1 = 48.99, modeled = 34.37, target = 50.00, heatSink = -88.21, output = 100.0, timeout = 9800, exptTempC = 50.00, TecRate = 7.923
(4362747) TC: TC-1 = 50.91, modeled = 35.57, target = 50.00, heatSink = -87.78, output = 100.0, timeout = 9950, exptTempC = 50.00, TecRate = 8.004
(4362897) TC: TC-1 = 52.79, modeled = 36.78, target = 50.00, heatSink = -86.86, output = 100.0, timeout = 10100, exptTempC = 50.00, TecRate = 8.074
(4363048) TC: TC-1 = 54.53, modeled = 37.99, target = 50.00, heatSink = -87.97, output = 100.0, timeout = 10250, exptTempC = 50.00, TecRate = 8.022
(4363197) TC: TC-1 = 56.24, modeled = 39.19, target = 50.00, heatSink = -87.87, output = 100.0, timeout = 10400, exptTempC = 50.00, TecRate = 7.992
(4363351) TC: TC-1 = 57.97, modeled = 40.38, target = 50.00, heatSink = -87.66, output = 100.0, timeout = 10550, exptTempC = 50.00, TecRate = 7.987
(4363507) TC: TC-1 = 59.12, modeled = 41.55, target = 50.00, heatSink = -87.97, output = 100.0, timeout = 10700, exptTempC = 50.00, TecRate = 7.304
(4363651) TC: TC-1 = 60.84, modeled = 42.69, target = 50.00, heatSink = -87.83, output = 100.0, timeout = 10850, exptTempC = 50.00, TecRate = 7.629
(4363802) TC: TC-1 = 62.46, modeled = 43.83, target = 50.00, heatSink = -87.07, output = 100.0, timeout = 11000, exptTempC = 50.00, TecRate = 7.625
(4363951) TC: TC-1 = 63.99, modeled = 44.97, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 11150, exptTempC = 50.00, TecRate = 7.564
(4364108) TC: TC-1 = 65.47, modeled = 46.10, target = 50.00, heatSink = -87.87, output = 50.0, timeout = 11300, exptTempC = 50.00, TecRate = 7.485
(4364264) TC: TC-1 = 66.90, modeled = 47.22, target = 50.00, heatSink = -87.83, output = -100.0, timeout = 11400, exptTempC = 50.00, TecRate = 7.403
(4364415) TC: TC-1 = 67.81, modeled = 48.27, target = 50.00, heatSink = -87.66, output = -100.0, timeout = 11550, exptTempC = 50.00, TecRate = 6.952
(4364561) TC: TC-1 = 69.06, modeled = 49.30, target = 50.00, heatSink = -87.41, output = -100.0, timeout = 11700, exptTempC = 50.00, TecRate = 6.839
(4364711) TC: TC-1 = 70.26, modeled = 50.32, target = 50.00, heatSink = -86.82, output = -100.0, timeout = 11850, exptTempC = 50.00, TecRate = 6.721
(4364862) TC: TC-1 = 71.43, modeled = 51.31, target = 50.00, heatSink = -87.03, output = -100.0, timeout = 12000, exptTempC = 50.00, TecRate = 6.605
(4364962) _thermalBrakeCheck: HEATING MAX RAMP: SWITCH to STEADY STATE - THERMAL BRAKE! model: 51.966339, threshold: 50.200001
(4364998) _setThermalControlState: thermalControl-1: changing state 1->3
(4364999) _setTempReachedCallback: Set Temp Reached
(4365008) TC: TC-1 = 72.54, modeled = 52.29, target = 50.00, heatSink = -87.70, output = -69.9, timeout = 12150, exptTempC = 50.00, TecRate = 6.471
(4365164) TC: TC-1 = 73.58, modeled = 53.24, target = 50.00, heatSink = -87.54, output = -100.0, timeout = 12300, exptTempC = 50.00, TecRate = 6.314
(4365315) TC: TC-1 = 74.26, modeled = 54.15, target = 50.00, heatSink = -87.92, output = -100.0, timeout = 12450, exptTempC = 50.00, TecRate = 5.928
(4365459) TC: TC-1 = 75.22, modeled = 55.02, target = 50.00, heatSink = -87.92, output = -100.0, timeout = 12600, exptTempC = 50.00, TecRate = 5.820
(4365610) TC: TC-1 = 76.14, modeled = 55.89, target = 50.00, heatSink = -87.16, output = -100.0, timeout = 12750, exptTempC = 50.00, TecRate = 5.701
(4365760) TC: TC-1 = 77.02, modeled = 56.73, target = 50.00, heatSink = -87.45, output = -100.0, timeout = 12900, exptTempC = 50.00, TecRate = 5.592
(4365910) TC: TC-1 = 77.87, modeled = 57.56, target = 50.00, heatSink = -87.70, output = -100.0, timeout = 13050, exptTempC = 50.00, TecRate = 5.472
(4366064) TC: TC-1 = 78.64, modeled = 58.36, target = 50.00, heatSink = -87.88, output = -100.0, timeout = 13200, exptTempC = 50.00, TecRate = 5.315
(4366211) TC: TC-1 = 79.15, modeled = 59.12, target = 50.00, heatSink = -87.92, output = -100.0, timeout = 13350, exptTempC = 50.00, TecRate = 5.012
(4366360) TC: TC-1 = 79.91, modeled = 59.87, target = 50.00, heatSink = -87.28, output = -100.0, timeout = 13500, exptTempC = 50.00, TecRate = 4.941
(4366511) TC: TC-1 = 80.63, modeled = 60.60, target = 50.00, heatSink = -87.58, output = -100.0, timeout = 13650, exptTempC = 50.00, TecRate = 4.854
(4366660) TC: TC-1 = 81.30, modeled = 61.32, target = 50.00, heatSink = -87.87, output = -100.0, timeout = 13800, exptTempC = 50.00, TecRate = 4.751
(4366814) TC: TC-1 = 81.94, modeled = 62.02, target = 50.00, heatSink = -87.79, output = -100.0, timeout = 13950, exptTempC = 50.00, TecRate = 4.640
(4366963) TC: TC-1 = 82.35, modeled = 62.69, target = 50.00, heatSink = -87.92, output = -100.0, timeout = 14100, exptTempC = 50.00, TecRate = 4.296
(4367113) TC: TC-1 = 82.99, modeled = 63.35, target = 50.00, heatSink = -87.72, output = -100.0, timeout = 14250, exptTempC = 50.00, TecRate = 4.346
(4367263) TC: TC-1 = 83.57, modeled = 63.99, target = 50.00, heatSink = -87.44, output = -100.0, timeout = 14400, exptTempC = 50.00, TecRate = 4.259
(4367413) TC: TC-1 = 84.10, modeled = 64.62, target = 50.00, heatSink = -87.96, output = -100.0, timeout = 14550, exptTempC = 50.00, TecRate = 4.165
(4367563) TC: TC-1 = 84.61, modeled = 65.23, target = 50.00, heatSink = -87.88, output = -100.0, timeout = 14700, exptTempC = 50.00, TecRate = 4.069
(4367718) TC: TC-1 = 84.93, modeled = 65.82, target = 50.00, heatSink = -87.70, output = -100.0, timeout = 14850, exptTempC = 50.00, TecRate = 3.779
(4367863) TC: TC-1 = 85.42, modeled = 66.40, target = 50.00, heatSink = -87.88, output = -100.0, timeout = 15000, exptTempC = 50.00, TecRate = 3.794
(4368014) TC: TC-1 = 85.90, modeled = 66.96, target = 50.00, heatSink = -87.25, output = -100.0, timeout = 15150, exptTempC = 50.00, TecRate = 3.736
(4368163) TC: TC-1 = 86.34, modeled = 67.51, target = 50.00, heatSink = -87.53, output = -100.0, timeout = 15300, exptTempC = 50.00, TecRate = 3.672
(4368314) TC: TC-1 = 86.78, modeled = 68.06, target = 50.00, heatSink = -88.01, output = -100.0, timeout = 15450, exptTempC = 50.00, TecRate = 3.605
(4368468) TC: TC-1 = 87.18, modeled = 68.59, target = 50.00, heatSink = -87.83, output = -100.0, timeout = 15600, exptTempC = 50.00, TecRate = 3.526
(4368621) TC: TC-1 = 87.44, modeled = 69.10, target = 50.00, heatSink = -87.92, output = -100.0, timeout = 15750, exptTempC = 50.00, TecRate = 3.354
(4368765) TC: TC-1 = 87.81, modeled = 69.60, target = 50.00, heatSink = -88.14, output = -100.0, timeout = 15900, exptTempC = 50.00, TecRate = 3.302
(4368915) TC: TC-1 = 88.19, modeled = 70.09, target = 50.00, heatSink = -87.37, output = -100.0, timeout = 16050, exptTempC = 50.00, TecRate = 3.264
(4369064) TC: TC-1 = 88.54, modeled = 70.57, target = 50.00, heatSink = -87.80, output = -100.0, timeout = 16200, exptTempC = 50.00, TecRate = 3.200
(4369215) TC: TC-1 = 88.88, modeled = 71.05, target = 50.00, heatSink = -88.06, output = -100.0, timeout = 16350, exptTempC = 50.00, TecRate = 3.143
(4369370) TC: TC-1 = 89.20, modeled = 71.51, target = 50.00, heatSink = -87.93, output = -100.0, timeout = 16500, exptTempC = 50.00, TecRate = 3.079
(4369516) TC: TC-1 = 89.41, modeled = 71.96, target = 50.00, heatSink = -88.01, output = -100.0, timeout = 16650, exptTempC = 50.00, TecRate = 2.951
(4369666) TC: TC-1 = 89.74, modeled = 72.40, target = 50.00, heatSink = -87.54, output = -100.0, timeout = 16800, exptTempC = 50.00, TecRate = 2.924
(4369816) TC: TC-1 = 90.04, modeled = 72.83, target = 50.00, heatSink = -87.74, output = -100.0, timeout = 16950, exptTempC = 50.00, TecRate = 2.884
(4369965) TC: TC-1 = 90.31, modeled = 73.26, target = 50.00, heatSink = -87.97, output = -100.0, timeout = 17100, exptTempC = 50.00, TecRate = 2.817
(4370119) TC: TC-1 = 90.56, modeled = 73.68, target = 50.00, heatSink = -88.19, output = -100.0, timeout = 17250, exptTempC = 50.00, TecRate = 2.762
(4370268) TC: TC-1 = 90.74, modeled = 74.08, target = 50.00, heatSink = -88.10, output = -100.0, timeout = 17400, exptTempC = 50.00, TecRate = 2.614
(4370418) TC: TC-1 = 91.03, modeled = 74.48, target = 50.00, heatSink = -87.79, output = -100.0, timeout = 17550, exptTempC = 50.00, TecRate = 2.641
(4370568) TC: TC-1 = 91.28, modeled = 74.87, target = 50.00, heatSink = -87.36, output = -100.0, timeout = 17700, exptTempC = 50.00, TecRate = 2.597
