(9192059) systemRequestStateChange: System State Transition WARNING -> ERROR
(9192059) blePeriphNotifySubscription: ENTER NOTIFY
(9192062) systemRequestStateChange: Notify exit state change
***PCR ON***
[99]PCR TEC set to 50°C
(9203218) _setPcrTecTempC: TEC Set Temp 50.000000
(9203219) _resetThermalControlState: RESET Peltier 1 control state
(9203223) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(9203230) _setThermalControlState: thermalControl-1: changing state 3->1
(9203237) tecCurvePredictorSetHoldPower: holdPower is NaN
(9203243) thermalControlSetEnable: Enabling Peltier 1
(9219282) TC: TC-1 = 96.54, modeled = 83.84, target = 50.00, heatSink = -86.09, output = -100.0, timeout = 15950, exptTempC = 50.00, TecRate = 1.584
(9219433) TC: TC-1 = 96.64, modeled = 84.08, target = 50.00, heatSink = -85.94, output = -100.0, timeout = 16100, exptTempC = 50.00, TecRate = 1.566
(9219582) TC: TC-1 = 96.76, modeled = 84.31, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 16250, exptTempC = 50.00, TecRate = 1.566
(9219736) TC: TC-1 = 96.86, modeled = 84.55, target = 50.00, heatSink = -86.20, output = -100.0, timeout = 16400, exptTempC = 50.00, TecRate = 1.545
(9219884) TC: TC-1 = 96.91, modeled = 84.77, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 16550, exptTempC = 50.00, TecRate = 1.482
(9220036) TC: TC-1 = 97.01, modeled = 85.00, target = 50.00, heatSink = -85.87, output = -100.0, timeout = 16700, exptTempC = 50.00, TecRate = 1.480
(9220186) TC: TC-1 = 97.08, modeled = 85.22, target = 50.00, heatSink = -85.72, output = -100.0, timeout = 16850, exptTempC = 50.00, TecRate = 1.450
(9220336) TC: TC-1 = 97.16, modeled = 85.43, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 17000, exptTempC = 50.00, TecRate = 1.426
(9220488) TC: TC-1 = 97.24, modeled = 85.64, target = 50.00, heatSink = -86.20, output = -100.0, timeout = 17150, exptTempC = 50.00, TecRate = 1.409
(9220644) TC: TC-1 = 97.32, modeled = 85.85, target = 50.00, heatSink = -86.01, output = -100.0, timeout = 17300, exptTempC = 50.00, TecRate = 1.389
(9220790) TC: TC-1 = 97.37, modeled = 86.06, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 17450, exptTempC = 50.00, TecRate = 1.353
(9220939) TC: TC-1 = 97.46, modeled = 86.26, target = 50.00, heatSink = -85.75, output = -100.0, timeout = 17600, exptTempC = 50.00, TecRate = 1.343
(9221090) TC: TC-1 = 97.54, modeled = 86.46, target = 50.00, heatSink = -86.01, output = -100.0, timeout = 17750, exptTempC = 50.00, TecRate = 1.332
(9221239) TC: TC-1 = 97.61, modeled = 86.66, target = 50.00, heatSink = -86.50, output = -100.0, timeout = 17900, exptTempC = 50.00, TecRate = 1.307
(9221392) TC: TC-1 = 97.68, modeled = 86.85, target = 50.00, heatSink = -86.46, output = -100.0, timeout = 18050, exptTempC = 50.00, TecRate = 1.284
(9221547) TC: TC-1 = 97.72, modeled = 87.04, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 18200, exptTempC = 50.00, TecRate = 1.239
(9221693) TC: TC-1 = 97.78, modeled = 87.22, target = 50.00, heatSink = -86.47, output = -100.0, timeout = 18350, exptTempC = 50.00, TecRate = 1.228
(9221841) TC: TC-1 = 97.85, modeled = 87.41, target = 50.00, heatSink = -86.02, output = -100.0, timeout = 18500, exptTempC = 50.00, TecRate = 1.215
