time,xx,T,415,445,480,515,555,590,630,680,NIR,CLR,Dark
[58745,0,54.94,332,5499,2931,1916,857,424,336,239,114,4881,1]
[58994,0,54.95,332,5500,2931,1916,857,424,337,238,114,4876,1]
[59245,0,54.97,333,5500,2930,1915,857,424,336,238,114,4875,1]
[59497,0,54.97,333,5503,2929,1915,857,424,336,238,114,4878,1]
[59747,0,54.98,333,5506,2927,1913,856,424,336,238,114,4879,1]
[59997,0,54.98,334,5509,2925,1913,856,424,336,238,114,4875,1]
[60249,0,54.98,334,5508,2924,1912,855,423,336,238,114,4864,1]
[60495,0,54.98,333,5499,2922,1910,855,423,336,238,114,4868,1]
[60745,0,54.98,333,5505,2921,1910,855,423,336,238,114,4866,1]
[60995,0,54.98,333,5508,2921,1910,855,423,336,238,114,4866,1]
[61256,0,54.98,334,5510,2920,1909,854,423,336,238,114,4865,1]
[61499,0,54.99,334,5503,2915,1906,853,423,335,238,114,4862,1]
[61744,0,54.99,333,5500,2914,1905,853,423,335,238,114,4860,1]
[61995,0,55,334,5505,2915,1905,853,422,336,238,114,4862,1]
[62245,0,55,334,5502,2914,1905,853,422,335,238,114,4862,1]
[62494,0,55,333,5503,2913,1905,853,422,335,238,114,4858,1]
[62745,0,55,333,5500,2912,1905,853,422,335,238,114,4858,1]
[62997,0,55,333,5499,2911,1904,852,422,335,238,114,4853,1]
[63244,0,55,333,5498,2910,1903,852,422,335,238,113,4850,1]
[63494,0,55,333,5495,2909,1902,852,422,335,237,114,4850,1]
[63745,0,55.01,332,5496,2909,1902,852,422,335,237,114,4846,1]
[63995,0,55.01,332,5496,2908,1901,851,422,335,237,113,4847,1]
[64245,0,55,332,5495,2907,1901,851,422,335,237,114,4846,1]
[64495,0,55,332,5509,2906,1900,851,421,335,237,113,4845,1]
[64767,0,55.01,333,5504,2905,1900,850,421,335,237,112,4845,1]
[64995,0,55.02,332,5496,2897,1895,849,420,334,236,113,4835,1]
[65247,0,55.04,332,5493,2898,1895,849,420,334,237,113,4835,1]
[65495,0,55.03,332,5497,2897,1895,849,420,334,237,113,4831,1]
[65747,0,55.02,332,5498,2897,1895,849,421,334,236,113,4834,1]
[65997,0,55.02,332,5494,2896,1894,848,420,334,236,113,4831,1]
[66245,0,55.02,332,5494,2895,1893,848,420,334,236,113,4831,1]
[66495,0,55.01,332,5497,2895,1893,848,420,334,236,113,4834,1]
[66745,0,55,332,5493,2895,1893,848,420,334,236,113,4832,1]
