timeSinceBoot,,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug,Stage1 P Term,Stage1 I Term,Stage1 D Term,Stage1 FF Term,,Stage1 Actual TEC Temp Rate,Stage1 Prior Target TEC Ramp Rate
8587.037,5.705,79.69,79.69,90,90,,,,,,,,,,,,,,
8587.037,5.705,79.69,79.69,90,90,,,,,,,,,,,,,,
8587.187,5.855,80.71,80.71,90,90,,,,,,,,,,,,,,
8587.187,5.855,80.71,80.71,90,90,,,,,,,,,,,,,,
8587.187,5.855,80.71,80.71,90,90,,,,,,,,,,,,,,
8587.187,5.855,80.71,80.71,90,90,,,,,,,,,,,,,,
8587.187,5.855,80.71,80.71,90,90,,,,,,,,,,,,,,
8587.337,6.005,81.69,81.69,90,90,,,,,,,,,,,,,,
8587.337,6.005,81.69,81.69,90,90,,,,,,,,,,,,,,
8587.337,6.005,81.69,81.69,90,90,,,,,,,,,,,,,,
8587.337,6.005,81.69,81.69,90,90,,,,,,,,,,,,,,
8587.337,6.005,81.69,81.69,90,90,,,,,,,,,,,,,,
8587.487,6.155,82.64,82.64,90,90,,,,,,,,,,,,,,
8587.487,6.155,82.64,82.64,90,90,,,,,,,,,,,,,,
8587.487,6.155,82.64,82.64,90,90,,,,,,,,,,,,,,
8587.487,6.155,82.64,82.64,90,90,,,,,,,,,,,,,,
8587.487,6.155,82.64,82.64,90,90,,,,,,,,,,,,,,
8587.637,6.305,83.58,83.58,90,90,,,,,,,,,,,,,,
8587.637,6.305,83.58,83.58,90,90,,,,,,,,,,,,,,
8587.637,6.305,83.58,83.58,90,90,,,,,,,,,,,,,,
8587.637,6.305,83.58,83.58,90,90,,,,,,,,,,,,,,
8587.637,6.305,83.58,83.58,90,90,,,,,,,,,,,,,,
8587.787,6.455,84.5,84.5,90,90,,,,,30.99,54.75,,,,,,,,
8587.787,6.455,84.5,84.5,90,90,,,,,30.99,54.75,,,,,,,,
8587.787,6.455,84.5,84.5,90,90,,,,,30.99,54.75,,,,,,,,
8587.787,6.455,84.5,84.5,90,90,,,,,30.99,54.75,,,,,,,,
8587.787,6.455,84.5,84.5,90,90,,,,,30.99,54.75,,,,,,,,
8587.787,6.455,84.5,84.5,90,90,,,,,30.99,54.75,,,,,,,,
8587.787,6.455,84.5,84.5,90,90,,,,,30.99,54.75,,,,,,,,
8587.938,6.606,85.39,85.39,90,90,,,,,,,,,,,,,,
8587.938,6.606,85.39,85.39,90,90,,,,,,,,,,,,,,
8587.938,6.606,85.39,85.39,90,90,,,,,,,,,,,,,,
8587.938,6.606,85.39,85.39,90,90,,,,,,,,,,,,,,
8587.938,6.606,85.39,85.39,90,90,,,,,,,,,,,,,,
8588.087,6.755,86.27,86.27,90,90,,,,,,,,,,,,,,
8588.087,6.755,86.27,86.27,90,90,,,,,,,,,,,,,,
8588.087,6.755,86.27,86.27,90,90,,,,,,,,,,,,,,
8588.087,6.755,86.27,86.27,90,90,,,,,,,,,,,,,,
8588.087,6.755,86.27,86.27,90,90,,,,,,,,,,,,,,
8588.237,6.905,87.11,87.11,90,90,,,,,,,,,,,,,,
