timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug,Stage1 P Term,Stage1 I Term,Stage1 D Term,Stage1 FF Term,Stage1 Output,Stage1 Actual TEC Temp Rate,Stage1 Prior Target TEC Ramp Rate
5048.269,89.54,89.54,115,90,,,,,33.52,64.33,,,,,,54.8,,
5048.269,89.54,89.54,115,90,,,,,33.52,64.33,,,,,,54.8,,
5048.269,89.54,89.54,115,90,,,,,33.52,64.33,,,,,,54.8,,
5048.269,89.54,89.54,115,90,,,,,33.52,64.33,,,,,,54.8,,
5048.419,89.48,89.48,115,90,,,,,,,,,,,,54.8,,
5048.419,89.48,89.48,115,90,,,,,,,,,,,,54.8,,
5048.419,89.48,89.48,115,90,,,,,,,,,,,,54.8,,
5048.419,89.48,89.48,115,90,,,,,,,,,,,,54.8,,
5048.419,89.48,89.48,115,90,,,,,,,,,,,,54.8,,
5048.569,89.43,89.43,115,90,,,,,,,,,,,,55.7,,
5048.569,89.43,89.43,115,90,,,,,,,,,,,,55.7,,
5048.569,89.43,89.43,115,90,,,,,,,,,,,,55.7,,
5048.569,89.43,89.43,115,90,,,,,,,,,,,,55.7,,
5048.569,89.43,89.43,115,90,,,,,,,,,,,,55.7,,
5048.719,89.37,89.37,115,90,,,,,,,,,,,,55.7,,
5048.719,89.37,89.37,115,90,,,,,,,,,,,,55.7,,
5048.719,89.37,89.37,115,90,,,,,,,,,,,,55.7,,
5048.719,89.37,89.37,115,90,,,,,,,,,,,,55.7,,
5048.719,89.37,89.37,115,90,,,,,,,,,,,,55.7,,
5048.869,89.29,89.29,115,90,,,,,,,,,,,,55.4,,
5048.869,89.29,89.29,115,90,,,,,,,,,,,,55.4,,
5048.869,89.29,89.29,115,90,,,,,,,,,,,,55.4,,
5048.869,89.29,89.29,115,90,,,,,,,,,,,,55.4,,
5048.869,89.29,89.29,115,90,,,,,,,,,,,,55.4,,
5049.019,89.23,89.23,115,90,,,,,,,,,,,,53.8,,
5049.019,89.23,89.23,115,90,,,,,,,,,,,,53.8,,
5049.019,89.23,89.23,115,90,,,,,,,,,,,,53.8,,
5049.019,89.23,89.23,115,90,,,,,,,,,,,,53.8,,
5049.019,89.23,89.23,115,90,,,,,,,,,,,,53.8,,
5049.169,89.15,89.15,115,90,,,,,33.53,64.54,,,,,,55.8,,
5049.169,89.15,89.15,115,90,,,,,33.53,64.54,,,,,,55.8,,
5049.169,89.15,89.15,115,90,,,,,33.53,64.54,,,,,,55.8,,
5049.169,89.15,89.15,115,90,,,,,33.53,64.54,,,,,,55.8,,
5049.169,89.15,89.15,115,90,,,,,33.53,64.54,,,,,,55.8,,
5049.169,89.15,89.15,115,90,,,,,33.53,64.54,,,,,,55.8,,
5049.169,89.15,89.15,115,90,,,,,33.53,64.54,,,,,,55.8,,
5049.319,89.08,89.08,115,90,,,,,,,,,,,,56.1,,
5049.319,89.08,89.08,115,90,,,,,,,,,,,,56.1,,
5049.319,89.08,89.08,115,90,,,,,,,,,,,,56.1,,
5049.319,89.08,89.08,115,90,,,,,,,,,,,,56.1,,
5049.319,89.08,89.08,115,90,,,,,,,,,,,,56.1,,
5049.469,89.01,89.01,115,90,,,,,,,,,,,,55.8,,
5049.469,89.01,89.01,115,90,,,,,,,,,,,,55.8,,
5049.469,89.01,89.01,115,90,,,,,,,,,,,,55.8,,
5049.469,89.01,89.01,115,90,,,,,,,,,,,,55.8,,
5049.469,89.01,89.01,115,90,,,,,,,,,,,,55.8,,
5049.619,88.97,88.97,115,90,,,,,,,,,,,,55.2,,
5049.619,88.97,88.97,115,90,,,,,,,,,,,,55.2,,
5049.619,88.97,88.97,115,90,,,,,,,,,,,,55.2,,
5049.619,88.97,88.97,115,90,,,,,,,,,,,,55.2,,
5049.619,88.97,88.97,115,90,,,,,,,,,,,,55.2,,
5049.769,88.9,88.9,115,90,,,,,,,,,,,,54.1,,
5049.769,88.9,88.9,115,90,,,,,,,,,,,,54.1,,
5049.769,88.9,88.9,115,90,,,,,,,,,,,,54.1,,
5049.769,88.9,88.9,115,90,,,,,,,,,,,,54.1,,
5049.769,88.9,88.9,115,90,,,,,,,,,,,,54.1,,
5049.919,88.85,88.85,115,90,,,,,,,,,,,,54.6,,
5049.919,88.85,88.85,115,90,,,,,,,,,,,,54.6,,
5049.919,88.85,88.85,115,90,,,,,,,,,,,,54.6,,
5049.919,88.85,88.85,115,90,,,,,,,,,,,,54.6,,
5049.919,88.85,88.85,115,90,,,,,,,,,,,,54.6,,
5050.069,88.79,88.79,115,90,,,,,,,,,,,,52.5,,
5050.069,88.79,88.79,115,90,,,,,,,,,,,,52.5,,
5050.069,88.79,88.79,115,90,,,,,,,,,,,,52.5,,
5050.069,88.79,88.79,115,90,,,,,,,,,,,,52.5,,
5050.069,88.79,88.79,115,90,,,,,,,,,,,,52.5,,
5050.219,88.71,88.71,115,90,,,,,33.5,64.62,,,,,,53.1,,
5050.219,88.71,88.71,115,90,,,,,33.5,64.62,,,,,,53.1,,
5050.219,88.71,88.71,115,90,,,,,33.5,64.62,,,,,,53.1,,
5050.219,88.71,88.71,115,90,,,,,33.5,64.62,,,,,,53.1,,
5050.219,88.71,88.71,115,90,,,,,33.5,64.62,,,,,,53.1,,
5050.219,88.71,88.71,115,90,,,,,33.5,64.62,,,,,,53.1,,
5050.219,88.71,88.71,115,90,,,,,33.5,64.62,,,,,,53.1,,
5050.369,88.69,88.69,115,90,,,,,,,,,,,,54.2,,
5050.369,88.69,88.69,115,90,,,,,,,,,,,,54.2,,
5050.369,88.69,88.69,115,90,,,,,,,,,,,,54.2,,
5050.369,88.69,88.69,115,90,,,,,,,,,,,,54.2,,
5050.369,88.69,88.69,115,90,,,,,,,,,,,,54.2,,
5050.519,88.6,88.6,115,90,,,,,,,,,,,,55.6,,
5050.519,88.6,88.6,115,90,,,,,,,,,,,,55.6,,
5050.519,88.6,88.6,115,90,,,,,,,,,,,,55.6,,
5050.519,88.6,88.6,115,90,,,,,,,,,,,,55.6,,
5050.519,88.6,88.6,115,90,,,,,,,,,,,,55.6,,
5050.669,88.51,88.51,115,90,,,,,,,,,,,,55,,
5050.669,88.51,88.51,115,90,,,,,,,,,,,,55,,
5050.669,88.51,88.51,115,90,,,,,,,,,,,,55,,
5050.669,88.51,88.51,115,90,,,,,,,,,,,,55,,
5050.669,88.51,88.51,115,90,,,,,,,,,,,,55,,
5050.819,88.47,88.47,115,90,,,,,,,,,,,,55.7,,
5050.819,88.47,88.47,115,90,,,,,,,,,,,,55.7,,
5050.819,88.47,88.47,115,90,,,,,,,,,,,,55.7,,
5050.819,88.47,88.47,115,90,,,,,,,,,,,,55.7,,
5050.819,88.47,88.47,115,90,,,,,,,,,,,,55.7,,
5050.969,88.41,88.41,115,90,,,,,,,,,,,,53.6,,
5050.969,88.41,88.41,115,90,,,,,,,,,,,,53.6,,
5050.969,88.41,88.41,115,90,,,,,,,,,,,,53.6,,
5050.969,88.41,88.41,115,90,,,,,,,,,,,,53.6,,
5050.969,88.41,88.41,115,90,,,,,,,,,,,,53.6,,
5051.119,88.36,88.36,115,90,,,,,,,,,,,,55.5,,
5051.119,88.36,88.36,115,90,,,,,,,,,,,,55.5,,
5051.119,88.36,88.36,115,90,,,,,,,,,,,,55.5,,
5051.119,88.36,88.36,115,90,,,,,,,,,,,,55.5,,
5051.119,88.36,88.36,115,90,,,,,,,,,,,,55.5,,
5051.27,88.32,88.32,115,90,,,,,33.43,64.61,,,,,,53.4,,
5051.27,88.32,88.32,115,90,,,,,33.43,64.61,,,,,,53.4,,
5051.27,88.32,88.32,115,90,,,,,33.43,64.61,,,,,,53.4,,
5051.27,88.32,88.32,115,90,,,,,33.43,64.61,,,,,,53.4,,
5051.27,88.32,88.32,115,90,,,,,33.43,64.61,,,,,,53.4,,
5051.27,88.32,88.32,115,90,,,,,33.43,64.61,,,,,,53.4,,
5051.27,88.32,88.32,115,90,,,,,33.43,64.61,,,,,,53.4,,
5051.42,88.28,88.28,115,90,,,,,,,,,,,,51.6,,
5051.42,88.28,88.28,115,90,,,,,,,,,,,,51.6,,
5051.42,88.28,88.28,115,90,,,,,,,,,,,,51.6,,
5051.42,88.28,88.28,115,90,,,,,,,,,,,,51.6,,
5051.42,88.28,88.28,115,90,,,,,,,,,,,,51.6,,
5051.57,88.22,88.22,115,90,,,,,,,,,,,,53.3,,
5051.57,88.22,88.22,115,90,,,,,,,,,,,,53.3,,
5051.57,88.22,88.22,115,90,,,,,,,,,,,,53.3,,
5051.57,88.22,88.22,115,90,,,,,,,,,,,,53.3,,
5051.57,88.22,88.22,115,90,,,,,,,,,,,,53.3,,
5051.72,88.17,88.17,115,90,,,,,,,,,,,,53.1,,
