***Stage1 ON***
(344285) heapMonitor_checkFreeHeapSize: New heap low water mark 114196
[26]TC TEC set to 50°C
(344302) _setStage1TecTempC: TEC Set Temp 50.000000
(344303) _resetThermalControlState: RESET Peltier 0 control state
(344307) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(344314) _setThermalControlState: thermalControl-0: changing state 3->1
(344321) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(344328) thermalControlSetEnable: Enabling Peltier 0
(356628) TC: TC-0 = 91.63, modeled = 50.63, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.769
(356778) TC: TC-0 = 92.12, modeled = 50.75, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.778
(356930) TC: TC-0 = 92.58, modeled = 50.87, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.786
(357081) TC: TC-0 = 93.01, modeled = 50.98, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.793
(357229) TC: TC-0 = 93.30, modeled = 51.10, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.798
(357381) TC: TC-0 = 93.74, modeled = 51.22, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.805
(357529) TC: TC-0 = 94.12, modeled = 51.35, target = 50.00, heatSink = -86.50, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.811
(357682) TC: TC-0 = 94.48, modeled = 51.47, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.817
(357831) TC: TC-0 = 94.83, modeled = 51.59, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.822
(357986) TC: TC-0 = 95.05, modeled = 51.71, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.825
(358132) TC: TC-0 = 95.37, modeled = 51.84, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.829
(358280) TC: TC-0 = 95.66, modeled = 51.96, target = 50.00, heatSink = -86.01, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.833
(358430) TC: TC-0 = 95.96, modeled = 52.09, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.837
(358580) TC: TC-0 = 96.24, modeled = 52.21, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.841
(358731) TC: TC-0 = 96.51, modeled = 52.34, target = 50.00, heatSink = -86.50, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.844
(358886) TC: TC-0 = 96.68, modeled = 52.47, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.845
(359030) TC: TC-0 = 96.92, modeled = 52.59, target = 50.00, heatSink = -86.19, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.848
(359184) TC: TC-0 = 97.16, modeled = 52.72, target = 50.00, heatSink = -86.04, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.851
(359331) TC: TC-0 = 97.38, modeled = 52.85, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.853
(359482) TC: TC-0 = 97.59, modeled = 52.98, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 0, exptTempC = 50.00, TecRate = 0.855
(359634) TC: TC-0 = 97.77, modeled = 53.11, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 100, exptTempC = 50.00, TecRate = 0.856
(359783) TC: TC-0 = 97.89, modeled = 53.23, target = 50.00, heatSink = -86.51, output = -100.0, timeout = 250, exptTempC = 50.00, TecRate = 0.856
(359933) TC: TC-0 = 98.10, modeled = 53.36, target = 50.00, heatSink = -86.32, output = -100.0, timeout = 400, exptTempC = 50.00, TecRate = 0.858
(360082) TC: TC-0 = 98.26, modeled = 53.49, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 550, exptTempC = 50.00, TecRate = 0.859
(360234) TC: TC-0 = 98.44, modeled = 53.62, target = 50.00, heatSink = -86.46, output = -100.0, timeout = 700, exptTempC = 50.00, TecRate = 0.860
