LED wave,440 trans,LED filt,sens filt,sytox wave,excite,emit
476.163,5.602738161,-2.13,70.23,564,-0.1489869,5.142736
476.538,5.388407921,-2.15,77.2,565,-0.1787843,4.837639
476.914,5.193461052,-2.14,82.12,566,-0.1787843,4.797464
477.29,5.041394751,-2.1,85.61,567,-0.1489869,4.562606
477.665,4.885553411,-2.1,87.5,568,-0.1787843,4.402955
478.04,4.704133764,-2.08,88.47,569,-0.2085816,4.255505
478.416,4.549744362,-2.08,88.84,570,-0.2085816,4.143958
478.791,4.39792005,-2.07,88.96,571,-0.2085816,4.038337
479.167,4.248975416,-2.03,89.12,572,-0.2085816,3.974808
479.542,4.10987976,-2.01,89.19,573,-0.2085816,3.617597
479.917,3.966815474,-2,89.11,574,-0.2085816,3.582129
480.292,3.816830284,-1.96,89.39,575,-0.2085816,3.421955
480.667,3.674782355,-1.93,89.8,576,-0.2085816,3.470233
481.042,3.537816208,-1.89,90.2,577,-0.2085816,3.218643
481.417,3.399277128,-1.85,90.59,578,-0.2085816,3.1403
481.792,3.271893772,-1.84,90.87,579,-0.2085816,2.926182
482.167,3.160191346,-1.82,91.24,580,-0.1787843,2.981607
482.542,3.015433132,-1.81,91.69,581,-0.2085816,2.78945
482.917,2.898164944,-1.8,91.91,582,-0.2085816,2.676161
483.292,2.78290527,-1.83,91.98,583,-0.2085816,2.683656
483.666,2.670864058,-1.8,92.03,584,-0.2085816,2.571499
484.041,2.571333711,-1.8,92.19,585,-0.2085816,2.461957
484.416,2.47729653,-1.78,92.23,586,-0.1787843,2.39529
484.79,2.378467954,-1.76,92.17,587,-0.1787843,2.40383
485.165,2.305120888,-1.72,91.98,588,-0.1787843,2.337861
485.539,2.227079224,-1.7,91.96,589,-0.1489869,2.188842
485.914,2.142019859,-1.66,92.01,590,-0.1489869,2.181173
486.288,2.071068491,-1.64,92.15,591,-0.1191895,2.039735
486.663,1.9936318,-1.61,92.19,592,-0.1191895,1.976119
487.037,1.917574451,-1.6,92.38,593,-0.1191895,1.900128
487.411,1.856351067,-1.58,92.55,594,-0.1191895,1.865966
487.785,1.792949776,-1.56,92.89,595,-0.1191895,1.85699
488.159,1.73274275,-1.57,93.09,596,-0.1191895,1.764703
488.533,1.68219111,-1.57,93.18,597,-0.0894,1.677731
488.908,1.623750607,-1.56,93.17,598,-0.0894,1.616206
489.282,1.581523412,-1.55,93.23,599,-0.0894,1.579867
489.655,1.538812237,-1.54,93.35,600,-0.0894,1.559039
490.029,1.483590197,-1.52,93.39,601,0,0
490.403,1.437273377,-1.52,93.28,602,0,0
490.777,1.396304528,-1.49,93.1,603,0,0
491.151,1.355868056,-1.47,93.11,604,0,0
491.524,1.325256364,-1.46,93.01,605,0,0
491.898,1.281504634,-1.42,92.97,606,0,0
492.272,1.254522787,-1.39,92.75,607,0,0
492.645,1.228363705,-1.37,92.5,608,0,0
493.019,1.18962116,-1.36,92.27,609,0,0
493.392,1.145361252,-1.35,92.23,610,0,0
493.766,1.108651421,-1.33,92.11,611,0,0
494.139,1.069158708,-1.32,92.04,612,0,0
494.512,1.03145672,-1.32,91.89,613,0,0
494.886,0.99353694,-1.32,91.75,614,0,0
495.259,0.954262019,-1.31,91.77,615,0,0
495.632,0.917987769,-1.3,91.86,616,0,0
496.005,0.889674979,-1.3,91.84,617,0,0
496.378,0.861918765,-1.29,91.92,618,0,0
496.751,0.836025872,-1.29,92.15,619,0,0
497.124,0.812770665,-1.28,92.33,620,0,0
497.497,0.782449361,-1.27,92.64,621,0,0
497.87,0.755733703,-1.25,92.93,622,0,0
498.243,0.742593665,-1.24,93.09,623,0,0
498.615,0.719677244,-1.23,93.17,624,0,0
498.988,0.690178705,-1.22,93.11,625,0,0
499.361,0.661623925,-1.2,92.99,626,0,0
499.734,0.632512569,-1.19,93.02,627,0,0
500.106,0.610418913,-1.19,93,628,0,0
500.479,0.594689585,-1.2,92.87,629,0,0
500.851,0.563618113,-1.19,92.76,630,0,0
501.224,0.544355736,-1.18,92.8,631,0,0
501.596,0.523786615,-1.17,92.95,632,0,0
501.968,0.50636336,-1.18,93.07,633,0,0
502.341,0.497651732,-1.18,92.96,634,0,0
502.713,0.485358658,-1.18,92.85,635,0,0
503.085,0.468056397,-1.17,92.84,636,0,0
503.457,0.451649498,-1.16,92.87,637,0,0
503.829,0.434008452,-1.15,92.92,638,0,0
504.201,0.422852729,-1.15,92.99,639,0,0
504.573,0.410922639,-1.14,93.05,640,0,0
504.945,0.390087329,-1.14,93.19,641,0,0
505.317,0.369082627,-1.14,93.29,642,0,0
505.689,0.352772524,-1.14,93.49,643,0,0
506.061,0.339801878,-1.15,93.7,644,0,0
506.432,0.335446064,-1.15,93.82,645,0,0
506.804,0.320587899,-1.15,93.81,646,0,0
507.176,0.307738248,-1.16,93.7,647,0,0
507.547,0.299704192,-1.16,93.7,648,0,0
507.919,0.297671479,-1.15,93.74,649,0,0
508.29,0.289347034,-1.16,93.48,650,0,0
508.662,0.285402603,-1.16,93.16,651,0,0
509.033,0.274682461,-1.15,92.95,652,0,0
509.405,0.267325976,-1.13,92.8,653,0,0
509.776,0.259679102,-1.13,92.72,654,0,0
510.147,0.251282061,-1.11,92.65,655,0,0
510.518,0.23773064,-1.12,92.63,656,0,0
510.889,0.234512178,-1.11,92.8,657,0,0
511.261,0.224590602,-1.1,92.98,658,0,0
511.632,0.20990183,-1.1,93.01,659,0,0
512.003,0.20264214,-1.11,92.97,660,0,0
512.374,0.196277812,-1.1,92.81,661,0,0
512.745,0.191026636,-1.1,92.67,662,0,0
513.115,0.187299996,-1.1,92.6,663,0,0
513.486,0.180766275,-1.1,92.41,664,0,0
513.857,0.179653122,-1.1,92.43,665,0,0
514.228,0.180475887,-1.1,92.58,666,0,0
514.598,0.181661637,-1.1,92.88,667,0,0
514.969,0.180475887,-1.11,93.28,668,0,0
515.339,0.179120745,-1.1,93.52,669,0,0
515.71,0.175611895,-1.09,93.65,670,0,0
516.08,0.169683148,-1.08,93.82,671,0,0
516.451,0.162302464,-1.07,93.85,672,0,0
516.821,0.159084001,-1.07,93.76,673,0,0
517.192,0.149501211,-1.08,93.67,674,0,0
517.562,0.142531909,-1.05,93.7,675,0,0
517.932,0.131811767,-1.05,93.78,676,0,0
518.302,0.127213963,-1.05,93.84,677,0,0
518.672,0.126560591,-1.07,93.96,678,0,0
519.042,0.12777054,-1.08,94.07,679,0,0
519.412,0.12472147,-1.06,94.32,680,0,0
519.782,0.128254519,-1.06,94.62,681,0,0
520.152,0.127141366,-1.06,94.59,682,0,0
520.522,0.129585462,-1.04,94.61,683,0,0
520.892,0.126512193,-1.03,94.64,684,0,0
521.262,0.1240197,-1,94.82,685,0,0
521.632,0.124164894,-0.98,95,686,0,0
522.001,0.115380669,-0.98,94.94,687,0,0
522.371,0.108435566,-0.95,94.66,688,0,0
522.74,0.104878318,-0.95,94.64,689,0,0
523.11,0.098368796,-0.96,94.63,690,0,0
523.479,0.101635656,-0.95,94.57,691,0,0
523.849,0.094569558,-0.95,94.3,692,0,0
524.218,0.088011639,-0.95,93.96,693,0,0
524.588,0.089632969,-0.95,93.88,694,0,0
524.957,0.094787349,-0.95,93.77,695,0,0
525.326,0.095924701,-0.95,93.65,696,0,0
525.695,0.093746794,-0.94,93.53,697,0,0
526.064,0.092440049,-0.93,93.54,698,0,0
526.434,0.095440721,-0.92,93.55,699,0,0
526.803,0.096021496,-0.89,93.64,700,0,0
527.172,0.092222259,-0.89,93.68,701,0,0
527.54,0.079300011,-0.86,94,702,0,0
527.909,0.075307182,-0.87,94.34,703,0,0
528.278,0.073976239,-0.86,94.55,704,0,0
528.647,0.066474559,-0.85,94.5,705,0,0
529.016,0.062917311,-0.87,94.53,706,0,0
529.384,0.05662558,-0.87,94.59,707,0,0
529.753,0.059239068,-0.87,94.57,708,0,0
530.122,0.064732234,-0.88,94.41,709,0,0
530.49,0.059868241,-0.87,94.29,710,0,0
530.859,0.062868913,-0.89,94.27,711,0,0
531.227,0.064635438,-0.88,94.28,712,0,0
531.596,0.064054663,-0.87,94.32,713,0,0
531.964,0.061804159,-0.86,94.31,714,0,0
532.332,0.057641937,-0.88,94.35,715,0,0
532.7,0.052439159,-0.87,94.31,716,0,0
533.069,0.054689663,-0.86,94.17,717,0,0
533.437,0.053092531,-0.85,93.98,718,0,0
