,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
246,7962.411,70.15,76.01,70.0,66.49,36.4
247,8074.827,,,,66.49,
248,7962.562,69.03,75.34,70.0,,36.56
249,8075.936,,,,63.29,
250,7962.711,67.92,74.68,70.0,,36.73
251,7962.862,66.44,73.96,70.0,,36.97
252,7963.022,65.35,73.25,70.0,59.12,37.16
253,7963.172,64.27,72.57,70.0,,37.34
254,7963.322,62.97,71.86,70.0,,37.55
255,7963.472,62.28,71.23,70.0,,37.68
256,7963.624,61.87,70.73,70.0,54.72,37.77
257,7963.775,61.62,70.32,70.0,,37.84
258,7963.925,61.64,70.04,70.0,,37.87
259,7964.075,61.75,69.84,70.0,,37.89
260,7964.217,62.02,69.73,70.0,50.82,37.88
261,7964.366,62.24,69.67,70.0,,37.87
262,7964.516,62.51,69.65,70.0,,37.85
263,7964.667,62.91,69.66,70.0,,37.82
264,7964.817,63.21,69.7,70.0,49.54,37.79
265,7964.967,63.52,69.75,70.0,,37.77
266,7965.118,63.9,69.81,70.0,,37.73
267,7965.268,64.18,69.87,70.0,,37.7
268,7965.418,64.44,69.93,70.0,49.7,37.67
269,7965.569,64.76,69.99,70.0,,37.62
270,7965.718,64.99,70.05,70.0,,37.58
271,7965.869,65.21,70.09,70.0,,37.55
272,7966.021,65.45,70.14,70.0,51.18,37.52
273,7966.171,65.63,70.17,70.0,,37.49
274,7966.321,65.78,70.19,70.0,,37.46
275,7966.471,65.98,70.22,70.0,,37.42
276,7966.621,66.1,70.23,70.0,53.23,37.39
277,7966.771,66.23,70.24,70.0,,37.37
278,7966.921,66.37,70.25,70.0,,37.33
279,7967.071,66.47,70.25,70.0,,37.31
280,7967.221,66.57,70.25,70.0,54.47,37.29
281,7967.371,66.69,70.25,70.0,,37.26
282,8095.854,,,,55.16,
283,7967.521,66.78,70.24,70.0,,37.24
284,7967.671,66.87,70.24,70.0,,37.22
285,7967.821,66.95,70.23,70.0,55.56,37.18
286,7967.971,67.02,70.21,70.0,,37.16
287,7968.121,67.08,70.2,70.0,,37.13
288,7968.271,67.15,70.19,70.0,,37.1
289,7968.421,67.22,70.17,70.0,55.85,37.08
290,7968.571,67.28,70.16,70.0,,37.06
291,7968.721,67.36,70.14,70.0,,37.04
292,7968.871,67.42,70.13,70.0,,37.03
293,8102.49,,,,56.08,
294,7969.021,67.47,70.12,70.0,56.3,37.0
295,7969.171,67.55,70.11,70.0,,36.98
296,7969.321,67.61,70.1,70.0,,36.96
297,7969.471,67.67,70.09,70.0,,36.94
298,7969.621,67.74,70.08,70.0,56.46,36.92
299,7969.771,67.79,70.07,70.0,,36.9
300,7969.921,67.84,70.06,70.0,,36.88
301,7970.071,67.9,70.05,70.0,,36.86
302,7970.221,67.94,70.04,70.0,56.64,36.84
303,7970.371,67.98,70.03,70.0,,36.82
