timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,dataQLiquidStg1
2107.468,102.78,51.4,30,60,
2107.468,102.78,51.4,30,60,
2107.468,102.78,51.4,30,60,
2107.618,103.7,51.68,30,60,
2107.618,103.7,51.68,30,60,
2107.618,103.7,51.68,30,60,
2107.618,103.7,51.68,30,60,
2107.768,104.67,51.97,30,60,
2107.768,104.67,51.97,30,60,
2107.768,104.67,51.97,30,60,
2107.768,104.67,51.97,30,60,
2107.918,105.5,52.26,30,60,
2107.918,105.5,52.26,30,60,
2107.918,105.5,52.26,30,60,
2107.918,105.5,52.26,30,60,
2108.068,106.4,52.56,30,60,
2108.068,106.4,52.56,30,60,
2108.068,106.4,52.56,30,60,
2108.068,106.4,52.56,30,60,
2108.218,107.26,52.86,30,60,43.37
2108.218,107.26,52.86,30,60,43.37
2108.218,107.26,52.86,30,60,43.37
2108.218,107.26,52.86,30,60,43.37
2108.218,107.26,52.86,30,60,43.37
2108.368,107.97,53.16,30,60,
2108.368,107.97,53.16,30,60,
2108.368,107.97,53.16,30,60,
2108.368,107.97,53.16,30,60,
2108.518,108.66,53.46,30,60,
2108.518,108.66,53.46,30,60,
2108.518,108.66,53.46,30,60,
2108.518,108.66,53.46,30,60,
2108.668,109.24,53.76,30,60,
2108.668,109.24,53.76,30,60,
2108.668,109.24,53.76,30,60,
2108.668,109.24,53.76,30,60,
2108.818,109.8,54.07,30,60,
2108.818,109.8,54.07,30,60,
2108.818,109.8,54.07,30,60,
2108.818,109.8,54.07,30,60,
2108.968,110.24,54.37,30,60,
2108.968,110.24,54.37,30,60,
2108.968,110.24,54.37,30,60,
2108.968,110.24,54.37,30,60,
2109.118,110.66,54.68,30,60,
2109.118,110.66,54.68,30,60,
2109.118,110.66,54.68,30,60,
2109.118,110.66,54.68,30,60,
2109.268,111.02,54.98,30,60,44.26
2109.268,111.02,54.98,30,60,44.26
2109.268,111.02,54.98,30,60,44.26
2109.268,111.02,54.98,30,60,44.26
2109.268,111.02,54.98,30,60,44.26
2109.418,111.28,55.29,30,60,
2109.418,111.28,55.29,30,60,
2109.418,111.28,55.29,30,60,
2109.418,111.28,55.29,30,60,
2109.568,111.53,55.59,30,60,
2109.568,111.53,55.59,30,60,
2109.568,111.53,55.59,30,60,
2109.568,111.53,55.59,30,60,
2109.718,111.74,55.9,30,60,
2109.718,111.74,55.9,30,60,
2109.718,111.74,55.9,30,60,
2109.718,111.74,55.9,30,60,
2109.868,111.54,56.2,30,60,
