"consumableId","experimentResult__fmax__001","experimentResult__fmax__002","experimentResult__fmax__003","experimentResult__fmax__004","experimentResult__fmax__005","experimentResult__fmax__006","experimentResult__fmax__007","experimentResult__fmax__008","experimentResult__fmax__009","experimentResult__fmax__010","experimentResult__fmax__011"
"92dc7db6-e055-4ed3-9729-34facc47c3bf","16","-94","567","417","133","48","35","26","15","559","1"
"d0831d7c-6b31-4883-8db2-ff099de15eea","14","52","669","390","130","44","30","28","12","443","0"
"324c9096-df61-4fd5-b096-7732b623eccb","14","37","610","391","126","45","28","25","11","282","-1"
"e4314c4e-2493-4863-8971-54ae67132dbe","13","50","643","382","125","47","31","30","12","288","0"
"b11ca19d-c6fc-4aca-a43e-4c405b776a08","15","47","709","378","134","46","32","28","12","265","0"
"4a2be774-5e6b-4366-8829-81afc1daadb2","13","35","507","336","118","39","29","22","11","223","1"
"5592260e-edbd-4fea-9d9d-4eb83275805e","13","47","544","318","104","37","26","22","11","364","0"
"160b7db1-b957-4bcb-b14d-190753732d15","13","34","594","375","123","42","27","24","10","236","-1"
"9ccdf0dc-b567-4591-bdbe-0173f5654805","8","26","373","199","73","24","17","15","7","138","0"
"5de8d648-1b6e-47bc-9481-466617128006","18","-108","745","449","147","57","41","34","17","610","0"
"5cd9b639-b725-4da7-9f36-06271243d5f2","19","-83","909","533","175","62","41","38","17","424","0"
"960371fb-f6a1-446d-8f65-6037428b7caf","13","105","696","379","126","46","29","29","12","292","0"
"53052f32-13d3-44f1-9e68-a4c89c5238d7","10","163","439","213","70","26","24","23","7","192","0"
"59799041-5fa8-41b8-9a24-c8af9795ed6e","21","-170","1007","633","209","73","47","36","21","-456","0"
