timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQLiquidStg1
81.215,0,0,0,0
81.3,91.35,91.27,90,43.62
81.315,0,0,0,0
81.4,91.47,91.3,90,0
81.415,0,0,0,0
81.5,91.47,91.34,90,0
81.515,0,0,0,0
81.6,91.47,91.37,90,0
81.615,0,0,0,0
81.7,91.47,91.4,90,0
81.715,0,0,0,0
81.8,91.47,91.43,90,0
81.815,0,0,0,0
81.9,91.47,91.45,90,0
81.915,0,0,0,0
82,91.47,91.46,90,0
82.015,0,0,0,0
82.1,91.59,91.47,90,0
82.115,0,0,0,0
82.2,91.59,91.49,90,0
82.215,0,0,0,0
82.285,0,0,0,43.73
82.3,91.72,91.51,90,0
82.315,0,0,0,0
82.399,91.59,91.54,90,0
82.422,0,0,0,0
82.504,91.72,91.57,90,0
82.519,0,0,0,0
82.604,91.72,91.59,90,0
82.619,0,0,0,0
82.704,91.72,91.62,90,0
82.719,0,0,0,0
82.804,91.72,91.65,90,0
82.819,0,0,0,0
82.904,91.72,91.67,90,0
82.919,0,0,0,0
83.004,91.72,91.69,90,0
83.019,0,0,0,0
83.104,91.72,91.7,90,0
83.119,0,0,0,0
83.204,91.72,91.72,90,0
83.219,0,0,0,0
83.304,91.84,91.73,90,0
83.319,0,0,0,0
83.404,91.84,91.74,90,44.06
83.419,0,0,0,0
83.504,91.72,91.76,90,0
83.519,0,0,0,0
83.604,91.84,91.78,90,0
83.619,0,0,0,0
83.704,91.96,91.79,90,0
83.719,0,0,0,0
83.804,91.96,91.82,90,0
83.819,0,0,0,0
83.904,91.96,91.85,90,0
83.919,0,0,0,0
84.004,91.84,91.87,90,0
84.019,0,0,0,0
84.104,91.96,91.89,90,0
84.119,0,0,0,0
84.204,91.96,91.9,90,0
84.219,0,0,0,0
84.304,91.96,91.92,90,0
84.319,0,0,0,0
84.404,91.84,91.93,90,44.36
84.419,0,0,0,0
84.504,91.84,91.92,90,0
84.519,0,0,0,0
84.604,91.84,91.9,90,0
84.619,0,0,0,0
84.704,91.84,91.89,90,0
84.719,0,0,0,0
84.804,91.96,91.88,90,0
84.819,0,0,0,0
84.904,91.96,91.88,90,0
84.919,0,0,0,0
85.004,91.96,91.89,90,0
85.019,0,0,0,0
85.104,91.96,91.91,90,0
85.119,0,0,0,0
85.204,91.96,91.92,90,0
85.219,0,0,0,0
85.304,91.96,91.93,90,0
85.319,0,0,0,0
85.404,91.96,91.94,90,44.85
85.419,0,0,0,0
85.504,91.96,91.95,90,0
85.519,0,0,0,0
85.604,91.96,91.96,90,0
85.619,0,0,0,0
85.704,91.96,91.96,90,0
85.719,0,0,0,0
85.804,91.96,91.96,90,0
85.819,0,0,0,0
85.904,91.96,91.96,90,0
85.919,0,0,0,0
86.004,91.96,91.96,90,0
86.019,0,0,0,0
86.104,91.96,91.96,90,0
86.119,0,0,0,0
86.204,91.96,91.96,90,0
86.219,0,0,0,0
86.304,91.96,91.96,90,0
86.319,0,0,0,0
86.404,91.96,91.96,90,45.29
86.419,0,0,0,0
86.504,92.08,91.96,90,0
86.519,0,0,0,0
86.604,91.96,91.97,90,0
86.619,0,0,0,0
86.704,91.96,91.97,90,0
86.719,0,0,0,0
86.804,91.96,91.97,90,0
86.819,0,0,0,0
86.904,91.96,91.97,90,0
86.919,0,0,0,0
87.004,91.96,91.97,90,0
87.019,0,0,0,0
87.104,91.96,91.97,90,0
87.119,0,0,0,0
87.204,91.96,91.97,90,0
87.219,0,0,0,0
87.304,91.96,91.96,90,0
87.319,0,0,0,0
87.406,91.96,91.96,90,45.56
87.421,0,0,0,0
87.504,91.96,91.96,90,0
87.519,0,0,0,0
87.604,91.96,91.96,90,0
87.619,0,0,0,0
87.704,91.96,91.96,90,0
87.719,0,0,0,0
87.804,91.96,91.96,90,0
87.819,0,0,0,0
87.904,91.96,91.96,90,0
87.919,0,0,0,0
88.005,91.84,91.96,90,0
88.02,0,0,0,0
88.104,91.96,91.95,90,0
88.119,0,0,0,0
88.204,91.84,91.94,90,0
88.219,0,0,0,0
88.304,91.96,91.93,90,0
88.319,0,0,0,0
88.404,91.84,91.93,90,46.28
88.419,0,0,0,0
88.504,91.96,91.92,90,0
88.519,0,0,0,0
88.604,91.96,91.91,90,0
88.619,0,0,0,0
