timeSinceBootSeconds,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQStg1Liquid,dataQStg1Slug
640.838,73.63,73.63,30.0,60.0,,,,,,
640.988,73.74,73.74,30.0,60.0,,,,,,
641.138,73.84,73.84,30.0,60.0,,,,,,
641.288,73.97,73.97,30.0,60.0,,,,,,
641.438,74.08,74.08,30.0,60.0,,,,,,
641.59,74.2,74.2,30.0,60.0,,,,,,
641.738,74.31,74.31,30.0,60.0,,,,,,
641.888,74.44,74.44,30.0,60.0,,,,,,
642.038,74.54,74.54,30.0,60.0,,,,,,
642.188,74.63,74.63,30.0,60.0,,,,,,
642.338,74.75,74.75,30.0,60.0,,,,,,
642.488,74.87,74.87,30.0,60.0,,,,,,
642.638,74.99,74.99,30.0,60.0,,,,,,
642.788,75.1,75.1,30.0,60.0,,,,,,
642.938,75.21,75.21,30.0,60.0,,,,,,
643.088,75.31,75.31,30.0,60.0,,,,,,
643.238,75.42,75.42,30.0,60.0,,,,,,
643.388,75.53,75.53,30.0,60.0,,,,,,
643.538,75.63,75.63,30.0,60.0,,,,,,
643.688,75.75,75.75,30.0,60.0,,,,,,
643.838,75.88,75.88,30.0,60.0,,,,,,
643.988,75.99,75.99,30.0,60.0,,,,,,
644.138,76.09,76.09,30.0,60.0,,,,,,
644.288,76.2,76.2,30.0,60.0,,,,,,
644.438,76.3,76.3,30.0,60.0,,,,,,
644.588,76.43,76.43,30.0,60.0,,,,,,
644.738,76.55,76.55,30.0,60.0,,,,,,
644.888,76.65,76.65,30.0,60.0,,,,,,
645.038,76.78,76.78,30.0,60.0,,,,,,
645.188,76.91,76.91,30.0,60.0,,,,,,
645.338,77.04,77.04,30.0,60.0,,,,,,
645.488,77.15,77.15,30.0,60.0,,,,,,
645.638,77.23,77.23,30.0,60.0,,,,,,
645.788,77.35,77.35,30.0,60.0,,,,,,
645.938,77.46,77.46,30.0,60.0,,,,,,
646.088,77.61,77.61,30.0,60.0,,,,,,
646.238,77.72,77.72,30.0,60.0,,,,,,
646.388,77.85,77.85,30.0,60.0,,,,,,
646.538,77.97,77.97,30.0,60.0,,,,,,
646.688,78.09,78.09,30.0,60.0,,,,,,
646.838,78.21,78.21,30.0,60.0,,,,,,
646.988,78.33,78.33,30.0,60.0,,,,,,
647.138,78.45,78.45,30.0,60.0,,,,,,
647.288,78.6,78.6,30.0,60.0,,,,,,
647.438,78.73,78.73,30.0,60.0,,,,,,
647.588,78.86,78.86,30.0,60.0,,,,,,
647.738,78.97,78.97,30.0,60.0,,,,,,
647.888,79.12,79.12,30.0,60.0,,,,,,
648.038,79.25,79.25,30.0,60.0,,,,,,
648.188,79.37,79.37,30.0,60.0,,,,,,
648.338,79.49,79.49,30.0,60.0,,,,,,
648.488,79.62,79.62,30.0,60.0,,,,,,
648.638,79.73,79.73,30.0,60.0,,,,,,
648.788,79.87,79.87,30.0,60.0,,,,,,
648.938,80.0,80.0,30.0,60.0,,,,,,
649.088,80.11,80.11,30.0,60.0,,,,,,
649.238,80.24,80.24,30.0,60.0,,,,,,
649.388,80.38,80.38,30.0,60.0,,,,,,
649.538,80.5,80.5,30.0,60.0,,,,,,
649.688,80.64,80.64,30.0,60.0,,,,,,
649.838,80.77,80.77,30.0,60.0,,,,,,
649.988,80.87,80.87,30.0,60.0,,,,,,
650.138,81.0,81.0,30.0,60.0,,,,,,
650.288,81.14,81.14,30.0,60.0,,,,,,
650.438,81.26,81.26,30.0,60.0,,,,,,
650.588,81.39,81.39,30.0,60.0,,,,,,
650.741,81.52,81.52,60.0,60.0,,,,,,
650.887,81.67,81.67,60.0,60.0,,,,,,
651.037,81.54,81.54,60.0,60.0,,,,,,
651.187,80.89,80.89,60.0,60.0,,,,,,
651.337,79.77,79.77,60.0,60.0,,,,,,
651.487,78.46,78.46,60.0,60.0,,,,,,
651.638,77.15,77.15,60.0,60.0,,,,,,
651.787,75.71,75.71,60.0,60.0,,,,,,
651.937,74.24,74.24,60.0,60.0,,,,,,
652.087,72.75,72.75,60.0,60.0,,,,,,
652.237,71.3,71.3,60.0,60.0,,,,,,
652.387,69.87,69.87,60.0,60.0,,,,,,
652.538,68.61,68.61,60.0,60.0,,,,,,
652.687,67.63,67.63,60.0,60.0,,,,,,
652.838,66.9,66.9,60.0,60.0,,,,,,
652.988,66.32,66.32,60.0,60.0,,,,,,
653.138,65.85,65.85,60.0,60.0,,,,,,
653.287,65.4,65.4,60.0,60.0,,,,,,
653.437,64.99,64.99,60.0,60.0,,,,,,
653.587,64.58,64.58,60.0,60.0,,,,,,
653.737,64.21,64.21,60.0,60.0,,,,,,
653.887,63.83,63.83,60.0,60.0,,,,,,
654.037,63.46,63.46,60.0,60.0,,,,,,
