timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
221.154,88.44,33.52,0,62,,19.5,
221.154,88.44,33.52,0,62,,19.5,
221.154,88.44,33.52,0,62,,19.5,
221.304,88.96,33.79,0,62,,19.49,
221.304,88.96,33.79,0,62,,19.49,
221.304,88.96,33.79,0,62,,19.49,
221.304,88.96,33.79,0,62,,19.49,
221.304,88.96,33.79,0,62,,19.49,
221.454,89.33,34.03,0,62,,19.49,
221.454,89.33,34.03,0,62,,19.49,
221.454,89.33,34.03,0,62,,19.49,
221.454,89.33,34.03,0,62,,19.49,
221.454,89.33,34.03,0,62,,19.49,
221.604,89.71,34.28,0,62,34,19.48,30.46
221.604,89.71,34.28,0,62,34,19.48,30.46
221.604,89.71,34.28,0,62,34,19.48,30.46
221.604,89.71,34.28,0,62,34,19.48,30.46
221.604,89.71,34.28,0,62,34,19.48,30.46
221.604,89.71,34.28,0,62,34,19.48,30.46
221.604,89.71,34.28,0,62,34,19.48,30.46
221.754,90.18,34.54,0,62,,19.48,
221.754,90.18,34.54,0,62,,19.48,
221.754,90.18,34.54,0,62,,19.48,
221.754,90.18,34.54,0,62,,19.48,
221.754,90.18,34.54,0,62,,19.48,
221.904,90.53,34.79,0,62,,19.47,
221.904,90.53,34.79,0,62,,19.47,
221.904,90.53,34.79,0,62,,19.47,
221.904,90.53,34.79,0,62,,19.47,
221.904,90.53,34.79,0,62,,19.47,
222.054,90.9,35.04,0,62,,19.47,
222.054,90.9,35.04,0,62,,19.47,
222.054,90.9,35.04,0,62,,19.47,
222.054,90.9,35.04,0,62,,19.47,
222.054,90.9,35.04,0,62,,19.47,
222.204,91.41,35.32,0,62,,19.47,
222.204,91.41,35.32,0,62,,19.47,
222.204,91.41,35.32,0,62,,19.47,
222.204,91.41,35.32,0,62,,19.47,
222.204,91.41,35.32,0,62,,19.47,
222.21,,,,,34.63,,30.99
222.21,,,,,34.63,,30.99
222.354,91.74,35.56,0,62,,19.47,
222.354,91.74,35.56,0,62,,19.47,
222.354,91.74,35.56,0,62,,19.47,
222.354,91.74,35.56,0,62,,19.47,
222.354,91.74,35.56,0,62,,19.47,
222.504,92.08,35.81,0,62,,19.48,
222.504,92.08,35.81,0,62,,19.48,
222.504,92.08,35.81,0,62,,19.48,
222.504,92.08,35.81,0,62,,19.48,
222.504,92.08,35.81,0,62,,19.48,
222.654,92.53,36.09,0,62,,19.47,
222.654,92.53,36.09,0,62,,19.47,
222.654,92.53,36.09,0,62,,19.47,
222.654,92.53,36.09,0,62,,19.47,
222.654,92.53,36.09,0,62,,19.47,
222.804,92.86,36.34,0,62,35.3,19.47,32.14
222.804,92.86,36.34,0,62,35.3,19.47,32.14
222.804,92.86,36.34,0,62,35.3,19.47,32.14
222.804,92.86,36.34,0,62,35.3,19.47,32.14
222.804,92.86,36.34,0,62,35.3,19.47,32.14
222.804,92.86,36.34,0,62,35.3,19.47,32.14
222.804,92.86,36.34,0,62,35.3,19.47,32.14
222.954,93.17,36.59,0,62,,19.47,
222.954,93.17,36.59,0,62,,19.47,
222.954,93.17,36.59,0,62,,19.47,
222.954,93.17,36.59,0,62,,19.47,
222.954,93.17,36.59,0,62,,19.47,
223.104,93.6,36.86,0,62,,19.47,
223.104,93.6,36.86,0,62,,19.47,
223.104,93.6,36.86,0,62,,19.47,
223.104,93.6,36.86,0,62,,19.47,
223.104,93.6,36.86,0,62,,19.47,
223.254,93.92,37.12,0,62,,19.48,
223.254,93.92,37.12,0,62,,19.48,
223.254,93.92,37.12,0,62,,19.48,
223.254,93.92,37.12,0,62,,19.48,
223.254,93.92,37.12,0,62,,19.48,
223.404,94.24,37.37,0,62,36.59,19.47,32.84
223.404,94.24,37.37,0,62,36.59,19.47,32.84
223.404,94.24,37.37,0,62,36.59,19.47,32.84
223.404,94.24,37.37,0,62,36.59,19.47,32.84
223.404,94.24,37.37,0,62,36.59,19.47,32.84
