timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug
1717.206,58.76,58.76,50,60,,,,,,
1717.206,58.76,58.76,50,60,,,,,,
1717.206,58.76,58.76,50,60,,,,,,
1717.356,58.74,58.74,50,60,,,,,,
1717.356,58.74,58.74,50,60,,,,,,
1717.356,58.74,58.74,50,60,,,,,,
1717.356,58.74,58.74,50,60,,,,,,
1717.506,58.72,58.72,50,60,,,,,,
1717.506,58.72,58.72,50,60,,,,,,
1717.506,58.72,58.72,50,60,,,,,,
1717.506,58.72,58.72,50,60,,,,,,
1717.656,58.71,58.71,50,60,,,,,,
1717.656,58.71,58.71,50,60,,,,,,
1717.656,58.71,58.71,50,60,,,,,,
1717.656,58.71,58.71,50,60,,,,,,
1717.806,58.7,58.7,50,60,,,,,,
1717.806,58.7,58.7,50,60,,,,,,
1717.806,58.7,58.7,50,60,,,,,,
1717.806,58.7,58.7,50,60,,,,,,
1717.956,58.68,58.68,50,60,,,,,33.31,
1717.956,58.68,58.68,50,60,,,,,33.31,
1717.956,58.68,58.68,50,60,,,,,33.31,
1717.956,58.68,58.68,50,60,,,,,33.31,
1717.956,58.68,58.68,50,60,,,,,33.31,
1718.106,58.67,58.67,50,60,,,,,,
1718.106,58.67,58.67,50,60,,,,,,
1718.106,58.67,58.67,50,60,,,,,,
1718.106,58.67,58.67,50,60,,,,,,
1718.256,58.66,58.66,50,60,,,,,,
1718.256,58.66,58.66,50,60,,,,,,
1718.256,58.66,58.66,50,60,,,,,,
1718.256,58.66,58.66,50,60,,,,,,
1718.406,58.62,58.62,50,60,,,,,,
1718.406,58.62,58.62,50,60,,,,,,
1718.406,58.62,58.62,50,60,,,,,,
1718.406,58.62,58.62,50,60,,,,,,
1718.556,58.62,58.62,50,60,,,,,,
1718.556,58.62,58.62,50,60,,,,,,
1718.556,58.62,58.62,50,60,,,,,,
1718.556,58.62,58.62,50,60,,,,,,
1718.706,58.61,58.61,50,60,,,,,,
1718.706,58.61,58.61,50,60,,,,,,
1718.706,58.61,58.61,50,60,,,,,,
1718.706,58.61,58.61,50,60,,,,,,
1718.856,58.61,58.61,50,60,,,,,,
1718.856,58.61,58.61,50,60,,,,,,
1718.856,58.61,58.61,50,60,,,,,,
1718.856,58.61,58.61,50,60,,,,,,
1719.006,58.58,58.58,50,60,,,,,33.5,
1719.006,58.58,58.58,50,60,,,,,33.5,
1719.006,58.58,58.58,50,60,,,,,33.5,
1719.006,58.58,58.58,50,60,,,,,33.5,
1719.006,58.58,58.58,50,60,,,,,33.5,
1719.156,58.57,58.57,50,60,,,,,,
1719.156,58.57,58.57,50,60,,,,,,
1719.156,58.57,58.57,50,60,,,,,,
1719.156,58.57,58.57,50,60,,,,,,
1719.306,58.55,58.55,50,60,,,,,,
1719.306,58.55,58.55,50,60,,,,,,
1719.306,58.55,58.55,50,60,,,,,,
1719.306,58.55,58.55,50,60,,,,,,
1719.456,58.54,58.54,50,60,,,,,,
1719.456,58.54,58.54,50,60,,,,,,
1719.456,58.54,58.54,50,60,,,,,,
1719.456,58.54,58.54,50,60,,,,,,
1719.606,58.53,58.53,50,60,,,,,,
1719.606,58.53,58.53,50,60,,,,,,
1719.606,58.53,58.53,50,60,,,,,,
1719.606,58.53,58.53,50,60,,,,,,
1719.756,58.51,58.51,50,60,,,,,,
1719.756,58.51,58.51,50,60,,,,,,
1719.756,58.51,58.51,50,60,,,,,,
1719.756,58.51,58.51,50,60,,,,,,
1719.906,58.49,58.49,50,60,,,,,,
1719.906,58.49,58.49,50,60,,,,,,
1719.906,58.49,58.49,50,60,,,,,,
1719.906,58.49,58.49,50,60,,,,,,
1719.963,,,,,,,,,33.64,
1720.056,58.48,58.48,50,60,,,,,,
1720.056,58.48,58.48,50,60,,,,,,
1720.056,58.48,58.48,50,60,,,,,,
1720.056,58.48,58.48,50,60,,,,,,
1720.206,58.48,58.48,50,60,,,,,,
1720.206,58.48,58.48,50,60,,,,,,
1720.206,58.48,58.48,50,60,,,,,,
1720.206,58.48,58.48,50,60,,,,,,
1720.356,58.47,58.47,50,60,,,,,,
1720.356,58.47,58.47,50,60,,,,,,
1720.356,58.47,58.47,50,60,,,,,,
1720.356,58.47,58.47,50,60,,,,,,
1720.506,58.46,58.46,50,60,,,,,,
1720.506,58.46,58.46,50,60,,,,,,
1720.506,58.46,58.46,50,60,,,,,,
1720.506,58.46,58.46,50,60,,,,,,
1720.656,58.44,58.44,50,60,,,,,,
1720.656,58.44,58.44,50,60,,,,,,
1720.656,58.44,58.44,50,60,,,,,,
1720.656,58.44,58.44,50,60,,,,,,
1720.806,58.42,58.42,50,60,,,,,,
1720.806,58.42,58.42,50,60,,,,,,
1720.806,58.42,58.42,50,60,,,,,,
1720.806,58.42,58.42,50,60,,,,,,
1720.956,58.42,58.42,50,60,,,,,33.77,
1720.956,58.42,58.42,50,60,,,,,33.77,
1720.956,58.42,58.42,50,60,,,,,33.77,
1720.956,58.42,58.42,50,60,,,,,33.77,
1720.956,58.42,58.42,50,60,,,,,33.77,
1721.106,58.41,58.41,50,60,,,,,,
1721.106,58.41,58.41,50,60,,,,,,
1721.106,58.41,58.41,50,60,,,,,,
1721.106,58.41,58.41,50,60,,,,,,
1721.256,58.39,58.39,50,60,,,,,,
1721.256,58.39,58.39,50,60,,,,,,
1721.256,58.39,58.39,50,60,,,,,,
1721.256,58.39,58.39,50,60,,,,,,
