(68167) heapMonitor_checkFreeHeapSize: New heap low water mark 115004
(164167) heapMonitor_checkFreeHeapSize: New heap low water mark 114908
[9]Set PCR TEC:  HEAT: True  POW: 100
(204775) RAW PELTIER: TC-1 = 52.5, HSTemp = 19.0, modeled = 36.4, rawRR C/s = 10.4, output = 100.0
(204822) RAW PELTIER: TC-1 = 53.0, HSTemp = 19.0, modeled = 36.7, rawRR C/s = 10.6, output = 100.0
(204871) RAW PELTIER: TC-1 = 53.0, HSTemp = 19.0, modeled = 37.1, rawRR C/s = 10.6, output = 100.0
(204919) RAW PELTIER: TC-1 = 53.6, HSTemp = 19.0, modeled = 37.4, rawRR C/s = 10.6, output = 100.0
(204970) RAW PELTIER: TC-1 = 54.1, HSTemp = 19.0, modeled = 37.8, rawRR C/s = 10.4, output = 100.0
(205020) RAW PELTIER: TC-1 = 54.7, HSTemp = 19.0, modeled = 38.1, rawRR C/s = 10.4, output = 100.0
(205070) RAW PELTIER: TC-1 = 55.2, HSTemp = 19.0, modeled = 38.5, rawRR C/s = 9.8, output = 100.0
(205120) RAW PELTIER: TC-1 = 55.8, HSTemp = 18.9, modeled = 38.8, rawRR C/s = 10.0, output = 100.0
(205171) RAW PELTIER: TC-1 = 56.3, HSTemp = 18.9, modeled = 39.2, rawRR C/s = 9.9, output = 100.0
(205220) RAW PELTIER: TC-1 = 56.8, HSTemp = 18.9, modeled = 39.5, rawRR C/s = 9.8, output = 100.0
(205270) RAW PELTIER: TC-1 = 57.3, HSTemp = 18.9, modeled = 39.9, rawRR C/s = 10.1, output = 100.0
(205320) RAW PELTIER: TC-1 = 57.8, HSTemp = 18.9, modeled = 40.3, rawRR C/s = 9.4, output = 100.0
(205370) RAW PELTIER: TC-1 = 58.3, HSTemp = 18.9, modeled = 40.6, rawRR C/s = 9.4, output = 100.0
(205420) RAW PELTIER: TC-1 = 58.8, HSTemp = 18.9, modeled = 41.0, rawRR C/s = 9.3, output = 100.0
(205470) RAW PELTIER: TC-1 = 59.3, HSTemp = 18.9, modeled = 41.3, rawRR C/s = 9.2, output = 100.0
(205520) RAW PELTIER: TC-1 = 59.8, HSTemp = 18.8, modeled = 41.7, rawRR C/s = 9.5, output = 100.0
(205572) RAW PELTIER: TC-1 = 60.3, HSTemp = 18.8, modeled = 42.1, rawRR C/s = 9.4, output = 100.0
(205625) RAW PELTIER: TC-1 = 60.8, HSTemp = 18.8, modeled = 42.4, rawRR C/s = 9.3, output = 100.0
(205672) RAW PELTIER: TC-1 = 61.3, HSTemp = 18.8, modeled = 42.8, rawRR C/s = 9.2, output = 100.0
(205722) RAW PELTIER: TC-1 = 61.3, HSTemp = 18.8, modeled = 43.1, rawRR C/s = 9.2, output = 100.0
(205770) RAW PELTIER: TC-1 = 61.8, HSTemp = 18.8, modeled = 43.4, rawRR C/s = 9.1, output = 100.0
(205821) RAW PELTIER: TC-1 = 62.3, HSTemp = 18.8, modeled = 43.8, rawRR C/s = 9.1, output = 100.0
