***PCR ON***
[161]PCR TEC set to 50°C
(5914843) _setPcrTecTempC: TEC Set Temp 50.000000
(5914844) _resetThermalControlState: RESET Peltier 1 control state
(5914848) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(5914855) _setThermalControlState: thermalControl-1: changing state 3->1
(5914862) tecCurvePredictorSetHoldPower: holdPower is NaN
(5914868) thermalControlSetEnable: Enabling Peltier 1
(5929842) TC: TC-1 = 90.45, modeled = 76.08, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 14850, exptTempC = 50.00, TecRate = 2.177
(5929991) TC: TC-1 = 90.65, modeled = 76.40, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 15000, exptTempC = 50.00, TecRate = 2.150
(5930144) TC: TC-1 = 90.86, modeled = 76.72, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 15150, exptTempC = 50.00, TecRate = 2.139
(5930299) TC: TC-1 = 91.00, modeled = 77.04, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 15300, exptTempC = 50.00, TecRate = 2.038
(5930444) TC: TC-1 = 91.18, modeled = 77.34, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 15450, exptTempC = 50.00, TecRate = 2.040
(5930593) TC: TC-1 = 91.36, modeled = 77.65, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 15600, exptTempC = 50.00, TecRate = 2.017
(5930744) TC: TC-1 = 91.53, modeled = 77.95, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 15750, exptTempC = 50.00, TecRate = 1.991
(5930893) TC: TC-1 = 91.71, modeled = 78.24, target = 50.00, heatSink = -86.46, output = -100.0, timeout = 15900, exptTempC = 50.00, TecRate = 1.971
(5931046) TC: TC-1 = 91.87, modeled = 78.53, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 16050, exptTempC = 50.00, TecRate = 1.940
(5931194) TC: TC-1 = 91.99, modeled = 78.82, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 16200, exptTempC = 50.00, TecRate = 1.877
(5931345) TC: TC-1 = 92.14, modeled = 79.10, target = 50.00, heatSink = -86.05, output = -100.0, timeout = 16350, exptTempC = 50.00, TecRate = 1.848
(5931495) TC: TC-1 = 92.28, modeled = 79.37, target = 50.00, heatSink = -85.75, output = -100.0, timeout = 16500, exptTempC = 50.00, TecRate = 1.823
(5931645) TC: TC-1 = 92.42, modeled = 79.64, target = 50.00, heatSink = -86.20, output = -100.0, timeout = 16650, exptTempC = 50.00, TecRate = 1.790
(5931796) TC: TC-1 = 92.57, modeled = 79.91, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 16800, exptTempC = 50.00, TecRate = 1.774
(5931952) TC: TC-1 = 92.72, modeled = 80.17, target = 50.00, heatSink = -86.19, output = -100.0, timeout = 16950, exptTempC = 50.00, TecRate = 1.751
(5932098) TC: TC-1 = 92.81, modeled = 80.43, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 17100, exptTempC = 50.00, TecRate = 1.698
(5932247) TC: TC-1 = 92.94, modeled = 80.68, target = 50.00, heatSink = -85.82, output = -100.0, timeout = 17250, exptTempC = 50.00, TecRate = 1.670
(5932398) TC: TC-1 = 93.06, modeled = 80.93, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 17400, exptTempC = 50.00, TecRate = 1.646
(5932548) TC: TC-1 = 93.18, modeled = 81.17, target = 50.00, heatSink = -86.09, output = -100.0, timeout = 17550, exptTempC = 50.00, TecRate = 1.621
(5932700) TC: TC-1 = 93.30, modeled = 81.41, target = 50.00, heatSink = -86.28, output = -100.0, timeout = 17700, exptTempC = 50.00, TecRate = 1.603
(5932854) TC: TC-1 = 93.40, modeled = 81.65, target = 50.00, heatSink = -86.32, output = -100.0, timeout = 17850, exptTempC = 50.00, TecRate = 1.544
(5932999) TC: TC-1 = 93.51, modeled = 81.88, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 18000, exptTempC = 50.00, TecRate = 1.538
(5933148) TC: TC-1 = 93.63, modeled = 82.11, target = 50.00, heatSink = -85.94, output = -100.0, timeout = 18150, exptTempC = 50.00, TecRate = 1.524
(5933299) TC: TC-1 = 93.74, modeled = 82.34, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 18300, exptTempC = 50.00, TecRate = 1.499
(5933448) TC: TC-1 = 93.85, modeled = 82.56, target = 50.00, heatSink = -86.19, output = -100.0, timeout = 18450, exptTempC = 50.00, TecRate = 1.485
(5933601) TC: TC-1 = 93.95, modeled = 82.78, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 18600, exptTempC = 50.00, TecRate = 1.463
(5933751) TC: TC-1 = 94.02, modeled = 83.00, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 18750, exptTempC = 50.00, TecRate = 1.401
(5933902) TC: TC-1 = 94.14, modeled = 83.21, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 18900, exptTempC = 50.00, TecRate = 1.416
(5934050) TC: TC-1 = 94.25, modeled = 83.42, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 19050, exptTempC = 50.00, TecRate = 1.403
