***PCR ON***
(1235069) heapMonitor_checkFreeHeapSize: New heap low water mark 114864
[45]PCR TEC set to 50°C
(1235089) _setPcrTecTempC: TEC Set Temp 50.000000
(1235090) _resetThermalControlState: RESET Peltier 1 control state
(1235093) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(1235101) _setThermalControlState: thermalControl-1: changing state 3->1
(1235108) tecCurvePredictorSetHoldPower: holdPower is NaN
(1235114) thermalControlSetEnable: Enabling Peltier 1
(1255615) TC: TC-1 = 86.99, modeled = 75.97, target = 50.00, heatSink = -87.12, output = -100.0, timeout = 20200, exptTempC = 50.00, TecRate = 1.659
(1255766) TC: TC-1 = 87.15, modeled = 76.22, target = 50.00, heatSink = -87.24, output = -100.0, timeout = 20350, exptTempC = 50.00, TecRate = 1.640
(1255916) TC: TC-1 = 87.31, modeled = 76.46, target = 50.00, heatSink = -87.96, output = -100.0, timeout = 20500, exptTempC = 50.00, TecRate = 1.626
(1256067) TC: TC-1 = 87.48, modeled = 76.71, target = 50.00, heatSink = -87.70, output = -100.0, timeout = 20650, exptTempC = 50.00, TecRate = 1.620
(1256222) TC: TC-1 = 87.59, modeled = 76.94, target = 50.00, heatSink = -87.70, output = -100.0, timeout = 20800, exptTempC = 50.00, TecRate = 1.539
(1256368) TC: TC-1 = 87.73, modeled = 77.18, target = 50.00, heatSink = -87.74, output = -100.0, timeout = 20950, exptTempC = 50.00, TecRate = 1.539
(1256518) TC: TC-1 = 87.88, modeled = 77.41, target = 50.00, heatSink = -87.54, output = -100.0, timeout = 21100, exptTempC = 50.00, TecRate = 1.539
(1256668) TC: TC-1 = 88.04, modeled = 77.64, target = 50.00, heatSink = -87.12, output = -100.0, timeout = 21250, exptTempC = 50.00, TecRate = 1.534
(1256818) TC: TC-1 = 88.20, modeled = 77.87, target = 50.00, heatSink = -87.88, output = -100.0, timeout = 21400, exptTempC = 50.00, TecRate = 1.525
(1256968) TC: TC-1 = 88.35, modeled = 78.09, target = 50.00, heatSink = -87.70, output = -100.0, timeout = 21550, exptTempC = 50.00, TecRate = 1.509
(1257124) TC: TC-1 = 88.49, modeled = 78.32, target = 50.00, heatSink = -87.74, output = -100.0, timeout = 21700, exptTempC = 50.00, TecRate = 1.489
(1257269) TC: TC-1 = 88.58, modeled = 78.53, target = 50.00, heatSink = -87.79, output = -100.0, timeout = 21850, exptTempC = 50.00, TecRate = 1.438
(1257419) TC: TC-1 = 88.72, modeled = 78.75, target = 50.00, heatSink = -87.53, output = -100.0, timeout = 22000, exptTempC = 50.00, TecRate = 1.432
(1257570) TC: TC-1 = 88.85, modeled = 78.96, target = 50.00, heatSink = -86.95, output = -100.0, timeout = 22150, exptTempC = 50.00, TecRate = 1.415
(1257719) TC: TC-1 = 88.98, modeled = 79.17, target = 50.00, heatSink = -87.75, output = -100.0, timeout = 22300, exptTempC = 50.00, TecRate = 1.400
(1257869) TC: TC-1 = 89.11, modeled = 79.38, target = 50.00, heatSink = -87.70, output = -100.0, timeout = 22450, exptTempC = 50.00, TecRate = 1.387
(1258027) TC: TC-1 = 89.23, modeled = 79.59, target = 50.00, heatSink = -87.44, output = -100.0, timeout = 22600, exptTempC = 50.00, TecRate = 1.370
(1258173) TC: TC-1 = 89.32, modeled = 79.79, target = 50.00, heatSink = -87.37, output = -100.0, timeout = 22750, exptTempC = 50.00, TecRate = 1.331
(1258322) TC: TC-1 = 89.44, modeled = 79.98, target = 50.00, heatSink = -86.98, output = -100.0, timeout = 22900, exptTempC = 50.00, TecRate = 1.322
(1258473) TC: TC-1 = 89.57, modeled = 80.18, target = 50.00, heatSink = -87.45, output = -100.0, timeout = 23050, exptTempC = 50.00, TecRate = 1.317
(1258622) TC: TC-1 = 89.69, modeled = 80.38, target = 50.00, heatSink = -87.74, output = -100.0, timeout = 23200, exptTempC = 50.00, TecRate = 1.294
(1258776) TC: TC-1 = 89.80, modeled = 80.57, target = 50.00, heatSink = -87.83, output = -100.0, timeout = 23350, exptTempC = 50.00, TecRate = 1.284
(1258930) TC: TC-1 = 89.88, modeled = 80.76, target = 50.00, heatSink = -87.62, output = -100.0, timeout = 23500, exptTempC = 50.00, TecRate = 1.226
