***PCR ON***
[41]PCR TEC set to 50°C
(96141) _setPcrTecTempC: TEC Set Temp 50.000000
(96142) _resetThermalControlState: RESET Peltier 1 control state
(96145) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(96152) _setThermalControlState: thermalControl-1: changing state 3->1
(96159) tecCurvePredictorSetHoldPower: holdPower is NaN
(96165) thermalControlSetEnable: Enabling Peltier 1
(111401) TC: TC-1 = 94.09, modeled = 76.89, target = 50.00, heatSink = -85.79, output = -100.0, timeout = 15150, exptTempC = 50.00, TecRate = 2.487
(111552) TC: TC-1 = 94.30, modeled = 77.26, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 15300, exptTempC = 50.00, TecRate = 2.458
(111702) TC: TC-1 = 94.48, modeled = 77.63, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 15450, exptTempC = 50.00, TecRate = 2.410
(111858) TC: TC-1 = 94.65, modeled = 77.99, target = 50.00, heatSink = -86.19, output = -100.0, timeout = 15600, exptTempC = 50.00, TecRate = 2.366
(112002) TC: TC-1 = 94.77, modeled = 78.33, target = 50.00, heatSink = -85.83, output = -100.0, timeout = 15750, exptTempC = 50.00, TecRate = 2.289
(112153) TC: TC-1 = 94.93, modeled = 78.67, target = 50.00, heatSink = -85.43, output = -100.0, timeout = 15900, exptTempC = 50.00, TecRate = 2.255
(112304) TC: TC-1 = 95.09, modeled = 79.01, target = 50.00, heatSink = -85.83, output = -100.0, timeout = 16050, exptTempC = 50.00, TecRate = 2.217
(112455) TC: TC-1 = 95.22, modeled = 79.33, target = 50.00, heatSink = -86.05, output = -100.0, timeout = 16200, exptTempC = 50.00, TecRate = 2.161
(112603) TC: TC-1 = 95.36, modeled = 79.65, target = 50.00, heatSink = -85.80, output = -100.0, timeout = 16350, exptTempC = 50.00, TecRate = 2.128
(112761) TC: TC-1 = 95.50, modeled = 79.97, target = 50.00, heatSink = -86.19, output = -100.0, timeout = 16500, exptTempC = 50.00, TecRate = 2.093
