Index,Text,X,S1,X,S2,X,S3,X,S4,X,S5,X,S6,,,,,,,
59,84.67,84.67,10.711833,84.83,6.688029289,84.86,7.721065044,84.88,18.34897423,84.9,4.29236269,84.92,3.846799374,,1.034958457,0.474356567,1.409801191,1.187552587,0.524113489,0.776219887
60,85.13,85.13,10.23575211,85.26,6.469825268,85.32,7.072556496,85.34,17.80270004,85.37,4.051270485,85.4,3.489738226,,1.300833235,0.442512035,1.338979007,2.02944755,0.343328715,0.33188343
61,85.53,85.53,9.715418816,85.67,6.292820454,85.7,6.536964893,85.71,16.99092102,85.74,3.913938999,85.77,3.356984854,,0.991836461,0.402282586,0.974496927,3.578933795,0.298244302,0.294776398
62,85.97,85.97,9.279010773,86.07,6.115816116,86.11,6.108186245,86.15,15.41619015,86.23,3.782711506,86.26,3.227283239,,0.801097264,0.443899632,0.81843788,6.870029205,0.27050105,0.232353534
63,86.41,86.41,8.926527977,86.53,5.920500278,86.59,5.748073578,86.61,12.3933773,86.64,3.663691044,86.66,3.125047684,,0.473666192,0.394191344,0.60082376,10.30301848,0.216169158,0.317896406
64,86.89,86.89,8.699168205,86.96,5.731288433,87,5.459678173,87.03,7.447928429,87.08,3.559929848,87.11,2.972457409,,0.651975111,0.50632195,0.5410021,8.031794159,0.235821443,0.287840584
65,87.33,87.33,8.412299156,87.42,5.508506775,87.49,5.221637249,87.52,3.913938999,87.55,3.456168413,87.57,2.845807552,,0.596490773,0.353731893,0.443898548,1.605665141,0.166461684,0.183801759
66,87.77,87.77,8.149843216,87.87,5.352864742,87.92,5.026321888,87.94,3.207446337,87.95,3.382925272,87.97,2.764934778,,0.810180393,0.268848736,0.323346683,0.421439467,0.217986107,0.214353062
67,88.19,88.19,7.809567451,88.26,5.239948273,88.33,4.890516281,88.37,3.030441761,88.43,3.291371107,88.47,2.674906492,,0.645040382,0.287840584,0.336391275,0.183801759,0.169930132,0.173398039
68,88.63,88.63,7.525749683,88.71,5.113298416,88.78,4.74250412,88.81,2.949568987,88.86,3.216601849,88.9,2.598611355,,0.326979726,0.22888524,0.40327481,0.170755955,0.127158848,0.138057414
69,89.05,89.05,7.388418198,89.17,5.017166615,89.22,4.5731287,89.24,2.877851486,89.27,3.163195133,89.29,2.540627241,,0.241911122,0.249355598,0.50243052,0.1860857,0.193529012,0.163755766
70,89.46,89.46,7.289234638,89.57,4.91493082,89.65,4.367132187,89.7,2.801556349,89.72,3.083848238,89.75,2.473487377,,0.240752962,0.200062858,0.261099073,0.115290218,0.115290218,0.122071902
71,89.91,89.91,7.180895805,90.01,4.824902534,90.06,4.249637604,90.09,2.749675751,90.13,3.03196764,90.16,2.418555021,,0.234207995,0.216465216,0.202270995,0.113555444,0.120652553,0.117103998
72,90.34,90.34,7.080186367,90.45,4.731822491,90.5,4.162661076,90.51,2.70084691,90.51,2.980087042,90.51,2.368200302,,0.20345419,0.172152887,0.258229331,0.164327864,0.164327867,0.156502846
73,90.73,90.73,7.000839233,90.82,4.664682865,90.88,4.061951637,90.95,2.636759043,90.99,2.915999174,91.02,2.307164192,,0.255423007,0.162541348,0.31513183,0.119418685,0.089564013,0.152590483
74,91.19,91.19,6.88334465,91.3,4.589913845,91.35,3.916990995,91.38,2.581826448,91.4,2.874799728,91.41,2.23697257,,0.239784376,0.16712234,0.450504393,0.116259143,0.141691026,0.210719448
75,91.61,91.61,6.782635212,91.71,4.519722462,91.72,3.72777915,91.75,2.532997608,91.8,2.815289497,91.84,2.148470402,,0.197251251,0.200972907,0.401945229,0.145146905,0.126538044,0.119095315
76,92.02,92.02,6.701762199,92.14,4.43732357,92.21,3.562981606,92.25,2.473487377,92.28,2.763408899,92.29,2.099641323,,0.188075663,0.13484733,0.209368107,0.117103998,0.085166442,0.074520777
77,92.45,92.45,6.620889664,92.53,4.379339218,92.59,3.47295332,92.62,2.423132658,92.65,2.726787329,92.68,2.067597389,,0.192745108,0.160621342,0.289118292,0.128496947,0.112435066,0.100388024
78,92.83,92.83,6.547646523,92.94,4.318303108,92.99,3.363088369,93.05,2.374303818,93.1,2.684062004,93.12,2.02944994,,0.225706896,0.162126621,0.190737844,0.111263494,0.10172675,0.079474102
79,93.31,93.31,6.439307213,93.42,4.24048233,93.48,3.271534204,93.51,2.320897341,93.56,2.635233164,93.57,1.991302371,,0.209437165,0.128654404,0.119678645,0.095743292,0.083775147,0.074799155
80,93.82,93.82,6.332494259,93.9,4.174868584,93.93,3.210498095,93.97,2.272068262,94,2.592507839,94.04,1.953154802,,0.16954528,0.115290749,0.084772111,0.101726849,0.08477264,0.061036216
81,94.27,94.27,6.256198883,94.31,4.122987747,94.34,3.172350645,94.38,2.22629118,94.44,2.554360151,94.48,1.925688505,,0.177334451,0.164962459,0.131969838,0.111349211,0.103101214,0.090729224
82,94.64,94.64,6.190585136,94.75,4.061951637,94.79,3.123521805,94.84,2.185091972,94.88,2.516212702,94.91,1.892118692,,0.391998783,0.289395348,0.226254298,0.176268198,0.184160678,0.134174166
83,95.22,95.22,5.963225842,95.69,3.894102335,95.85,2.992294312,95.95,2.082856417,96.02,2.409399509,96.03,1.814297676,,-0.06262577,-0.040895845,-0.031425061,-0.021874148,-0.025303503,-0.019053746
